Image Filename,Joint Angles
1_1723092371-449391602.png,"[-0.00034069  0.00650582  0.02003503  0.03326309  0.04698002  0.06196853
  0.07899713  0.09880923]"
2_1723092371-482727539.png,"[-2.14912266e-05  6.52747043e-03  1.95178268e-02  3.28335571e-02
  4.70335979e-02  6.26693907e-02  8.02789961e-02  1.00378444e-01]"
3_1723092371-516074463.png,"[-0.00072952  0.00669574  0.0205659   0.03308332  0.04599467  0.06103379
  0.07990582  0.10425521]"
4_1723092371-549488525.png,"[4.65673606e-05 6.95167877e-03 1.97937672e-02 3.25600109e-02
 4.63288323e-02 6.21674039e-02 8.11201419e-02 1.04188184e-01]"
5_1723092371-582904053.png,"[5.63519783e-05 6.79062580e-03 1.94691919e-02 3.22283764e-02
 4.60566720e-02 6.19318002e-02 8.08097092e-02 1.03606197e-01]"
6_1723092371-616319092.png,"[0.00026704 0.00729611 0.02002046 0.03266311 0.04619601 0.06158132
 0.07976161 0.10164325]"
7_1723092371-649735596.png,"[-3.00250950e-05  6.74489933e-03  1.98504499e-02  3.29764426e-02
  4.68151606e-02  6.20514273e-02  7.93559605e-02  9.93752243e-02]"
8_1723092371-683151611.png,"[-4.26757150e-05  6.87849426e-03  2.00375175e-02  3.30622844e-02
  4.68254779e-02  6.21909110e-02  8.00051227e-02  1.01083562e-01]"
9_1723092371-716568848.png,"[-4.26757150e-05  6.87849426e-03  2.00375175e-02  3.30622844e-02
  4.68254779e-02  6.21909110e-02  8.00051227e-02  1.01083562e-01]"
10_1723092371-749985596.png,"[-4.26757150e-05  6.87849426e-03  2.00375175e-02  3.30622844e-02
  4.68254779e-02  6.21909110e-02  8.00051227e-02  1.01083562e-01]"
11_1723092371-783403809.png,"[-0.00072952  0.00669574  0.0205659   0.03308332  0.04599467  0.06103379
  0.07990582  0.10425521]"
12_1723092371-816821533.png,"[-0.00013924  0.00649008  0.01948682  0.03259488  0.04665478  0.06249746
  0.0809352   0.10274698]"
13_1723092371-850240723.png,"[-0.00089776  0.00634708  0.02038773  0.03320782  0.04644122  0.06170925
  0.08060554  0.1046665 ]"
14_1723092371-883659180.png,"[-0.00066184  0.00598501  0.02004875  0.03376918  0.04750268  0.06160306
  0.07641901  0.09229118]"
15_1723092371-917079102.png,"[-5.40707328e-05  7.06847306e-03  2.02326071e-02  3.29593691e-02
  4.63451249e-02  6.14765671e-02  7.94203723e-02  1.01205534e-01]"
16_1723092371-950498535.png,"[-0.00073484  0.00631142  0.02036609  0.03357198  0.04699445  0.0616907
  0.07870117  0.09903509]"
17_1723092371-983919434.png,"[-0.00029282  0.00675039  0.01992094  0.03256875  0.04611121  0.06195273
  0.08146978  0.10598247]"
18_1723092372-17339600.png,"[4.65673606e-05 6.95167877e-03 1.97937672e-02 3.25600109e-02
 4.63288323e-02 6.21674039e-02 8.11201419e-02 1.04188184e-01]"
19_1723092372-50761230.png,"[-4.26757150e-05  6.87849426e-03  2.00375175e-02  3.30622844e-02
  4.68254779e-02  6.21909110e-02  8.00051227e-02  1.01083562e-01]"
20_1723092372-84182373.png,"[4.65673606e-05 6.95167877e-03 1.97937672e-02 3.25600109e-02
 4.63288323e-02 6.21674039e-02 8.11201419e-02 1.04188184e-01]"
21_1723092372-117604980.png,"[0.00013053 0.00777777 0.02039721 0.03203809 0.04482646 0.06087095
 0.08223838 0.11089972]"
22_1723092372-151026855.png,"[-4.26757150e-05  6.87849426e-03  2.00375175e-02  3.30622844e-02
  4.68254779e-02  6.21909110e-02  8.00051227e-02  1.01083562e-01]"
23_1723092372-184450439.png,"[-1.86039164e-05  6.55499987e-03  1.96554365e-02  3.30794757e-02
  4.72956205e-02  6.27659054e-02  7.99410458e-02  9.92537614e-02]"
24_1723092372-217873291.png,"[-0.00072952  0.00669574  0.0205659   0.03308332  0.04599467  0.06103379
  0.07990582  0.10425521]"
25_1723092372-251297607.png,"[-0.00067305  0.00652115  0.02033421  0.03316946  0.04649954  0.06178529
  0.08046197  0.10391342]"
26_1723092372-284721191.png,"[-0.00073484  0.00631142  0.02036609  0.03357198  0.04699445  0.0616907
  0.07870117  0.09903509]"
27_1723092372-318146484.png,"[-0.00056631  0.00660914  0.02009013  0.0326694   0.04601131  0.06176624
  0.08155344  0.1069268 ]"
