Image Filename,Joint Angles
1_1723092491-697277832.png,"[0.00740432 0.01603282 0.02367214 0.03602688 0.05140834 0.06812732
 0.08450811 0.09890386]"
2_1723092491-730713135.png,"[0.00799882 0.01673529 0.02349865 0.03523754 0.05042177 0.06751719
 0.08499754 0.10136022]"
3_1723092491-764150146.png,"[0.00915921 0.01747893 0.02296771 0.03482088 0.05054381 0.0676427
 0.08364677 0.09612881]"
4_1723092491-797586914.png,"[0.00719148 0.01702052 0.02503598 0.03610394 0.04995587 0.066314
 0.0848897  0.10538291]"
5_1723092491-831023926.png,"[0.00662919 0.01579739 0.02456389 0.03682596 0.05154417 0.06767663
 0.08418666 0.10005227]"
6_1723092491-864324463.png,"[0.00855669 0.01681323 0.02318729 0.03560388 0.0514698  0.06819607
 0.08322099 0.09402717]"
7_1723092491-897625488.png,"[0.00740432 0.01603282 0.02367214 0.03602688 0.05140834 0.06812732
 0.08450811 0.09890386]"
8_1723092491-930925293.png,"[0.00750906 0.01547049 0.02286259 0.03591432 0.0522564  0.06952272
 0.08537245 0.0975083 ]"
9_1723092491-964225586.png,"[0.00797535 0.01641766 0.02348568 0.03598532 0.05176532 0.06867616
 0.08458903 0.09741333]"
10_1723092491-997524414.png,"[0.00804732 0.01637152 0.02321269 0.03561917 0.05138373 0.06830078
 0.0841858  0.09689324]"
11_1723092492-30823975.png,"[0.00804732 0.01637152 0.02321269 0.03561917 0.05138373 0.06830078
 0.0841858  0.09689324]"
12_1723092492-64122314.png,"[0.0049749  0.0144239  0.02505201 0.03764091 0.05212392 0.06842685
 0.0864663  0.10614807]"
13_1723092492-97420898.png,"[0.006205   0.015226   0.02432687 0.03682229 0.05185272 0.06855407
 0.08606367 0.10352878]"
14_1723092492-130718262.png,"[0.00801366 0.01593059 0.02286123 0.03589637 0.0523118  0.06938898
 0.0844404  0.09482653]"
15_1723092492-164016113.png,"[0.00598058 0.01476362 0.02408863 0.03685528 0.05192228 0.06814725
 0.0843957  0.09955127]"
16_1723092492-197312744.png,"[0.00797535 0.01641766 0.02348568 0.03598532 0.05176532 0.06867616
 0.08458903 0.09741333]"
17_1723092492-230609863.png,"[0.00813513 0.01481154 0.02211313 0.03705343 0.05448903 0.06930946
 0.07647064 0.07095088]"
18_1723092492-263905762.png,"[0.00671919 0.01603984 0.02439152 0.03605411 0.05050156 0.06719985
 0.08560855 0.10518454]"
19_1723092492-297201904.png,"[0.00790886 0.01649283 0.02367085 0.0360091  0.05146396 0.06799367
 0.08357567 0.09622257]"
20_1723092492-330497070.png,"[0.00799882 0.01673529 0.02349865 0.03523754 0.05042177 0.06751719
 0.08499754 0.10136022]"
21_1723092492-363792480.png,"[0.0080213  0.01687405 0.02383289 0.03568867 0.05081409 0.06757953
 0.08436625 0.0995819 ]"
22_1723092492-397086670.png,"[0.00551048 0.01569985 0.0256095  0.03691837 0.0504383  0.06696645
 0.08727207 0.1120737 ]"
23_1723092492-430381348.png,"[0.00797535 0.01641766 0.02348568 0.03598532 0.05176532 0.06867616
 0.08458903 0.09741333]"
24_1723092492-463674805.png,"[0.00676761 0.015676   0.02410579 0.03643617 0.0514641  0.06798398
 0.08479695 0.10072229]"
25_1723092492-496968750.png,"[0.00315037 0.01317046 0.02608997 0.03887673 0.05247201 0.06780649
 0.08579088 0.10729992]"
26_1723092492-530261230.png,"[0.00808563 0.01588444 0.02258818 0.03553015 0.05193013 0.06901345
 0.08403683 0.09430553]"
27_1723092492-563554443.png,"[0.00786038 0.01685663 0.02395683 0.03562751 0.05050203 0.06721002
 0.08438752 0.10069058]"
28_1723092492-596846191.png,"[0.00735585 0.01639664 0.02395801 0.03564505 0.0504461  0.06734349
 0.08531994 0.10336877]"
29_1723092492-630138672.png,"[0.00666969 0.01622469 0.02499863 0.03687127 0.05127532 0.06763715
 0.08537929 0.10392511]"
30_1723092492-663429443.png,"[0.00876171 0.01661685 0.02254391 0.03519003 0.05169076 0.06918544
 0.08484449 0.09589001]"
31_1723092492-696721191.png,"[0.0074448  0.01646016 0.02410702 0.03607235 0.05113972 0.06808812
 0.08570099 0.10277866]"
32_1723092492-730011230.png,"[0.00710883 0.01661818 0.02451034 0.03577797 0.05004322 0.06691833
 0.08600467 0.10689377]"
33_1723092492-763302002.png,"[0.00804732 0.01637152 0.02321269 0.03561917 0.05138373 0.06830078
 0.0841858  0.09689324]"
34_1723092492-796591309.png,"[0.00797535 0.01641766 0.02348568 0.03598532 0.05176532 0.06867616
 0.08458903 0.09741333]"
35_1723092492-829882324.png,"[0.00811382 0.01629636 0.02302753 0.0355954  0.0516851  0.06898321
 0.08519901 0.0980838 ]"
36_1723092492-863182129.png,"[0.00740432 0.01603282 0.02367214 0.03602688 0.05140834 0.06812732
 0.08450811 0.09890386]"
37_1723092492-896482666.png,"[0.00726589 0.01615418 0.02413029 0.03641678 0.05148856 0.06782016
 0.08389799 0.0982336 ]"
38_1723092492-929781738.png,"[0.00611262 0.01580386 0.02513195 0.03691517 0.05098122 0.0671498
 0.08523129 0.10502577]"
39_1723092492-963081543.png,"[0.00790886 0.01649283 0.02367085 0.0360091  0.05146396 0.06799367
 0.08357567 0.09622257]"
40_1723092492-996379883.png,"[0.00808563 0.01588444 0.02258818 0.03553015 0.05193013 0.06901345
 0.08403683 0.09430553]"
41_1723092493-29678711.png,"[0.00603835 0.01493551 0.024346   0.03714742 0.05217857 0.0682778
 0.08429215 0.09908735]"
42_1723092493-62976318.png,"[0.00801366 0.01593059 0.02286123 0.03589637 0.0523118  0.06938898
 0.0844404  0.09482653]"
43_1723092493-96274414.png,"[0.0079945  0.01606376 0.02328593 0.03656846 0.0532066  0.07050148
 0.08578605 0.09644237]"
44_1723092493-129571045.png,"[0.0110398  0.01720427 0.02450587 0.04401692 0.06655186 0.08302364
 0.08449904 0.06196131]"
45_1723092493-162868164.png,"[0.01071153 0.01908379 0.02977292 0.05131131 0.0752572  0.09328726
 0.09725722 0.07897048]"
46_1723092493-196164063.png,"[0.00767053 0.01747985 0.03595896 0.06303418 0.08935673 0.10579783
 0.10342594 0.07305428]"
47_1723092493-229460693.png,"[0.00932779 0.01909303 0.03749368 0.06714769 0.09721574 0.11714921
 0.11671277 0.08538183]"
48_1723092493-262755615.png,"[0.00810423 0.02183857 0.04543318 0.07602241 0.10500044 0.12404497
 0.12508941 0.09983822]"
49_1723092493-296051270.png,"[0.00954393 0.02929787 0.05406036 0.08116111 0.1074445  0.12986093
 0.14549636 0.15152275]"
50_1723092493-329345703.png,"[0.00951183 0.03156972 0.06044654 0.09059262 0.1184451  0.14059957
 0.1538166  0.15490934]"
51_1723092493-362640381.png,"[0.01475121 0.04016639 0.06718797 0.09721361 0.12606133 0.14973203
 0.16443853 0.16648552]"
52_1723092493-395933838.png,"[0.01515956 0.04186519 0.0711407  0.10369111 0.13499764 0.16076893
 0.1769799  0.179726  ]"
53_1723092493-429228027.png,"[0.02131323 0.05408016 0.08101707 0.11083711 0.14139534 0.17063374
 0.19663453 0.21763665]"
54_1723092493-462520752.png,"[0.0269197  0.06955531 0.10570617 0.14306255 0.1769038  0.20289861
 0.21705567 0.21542544]"
55_1723092493-495813965.png,"[0.02598597 0.07007627 0.11254174 0.15581114 0.19288935 0.21748126
 0.22372503 0.2053977 ]"
56_1723092493-529105713.png,"[0.02743087 0.06555177 0.09743887 0.13640531 0.17641982 0.21186506
 0.23771073 0.24935901]"
57_1723092493-562398193.png,"[0.03015546 0.07159947 0.10559232 0.14689208 0.18857518 0.22427737
 0.24835544 0.25559219]"
58_1723092493-595689209.png,"[0.03477423 0.08934604 0.13936945 0.19122914 0.23407782 0.2585414
 0.25585257 0.21576987]"
59_1723092493-628980713.png,"[0.03922492 0.10149854 0.15239053 0.20188695 0.24287129 0.26926386
 0.27549818 0.25539033]"
60_1723092493-662270996.png,"[0.04135253 0.10842887 0.16189562 0.21187484 0.25262205 0.27931157
 0.28753976 0.27240111]"
61_1723092493-695561768.png,"[0.04477872 0.11882008 0.17461327 0.22389046 0.26369414 0.29164591
 0.30561552 0.30325715]"
62_1723092493-728851318.png,"[0.04905019 0.1274381  0.18433268 0.23507819 0.27599404 0.30412627
 0.31682786 0.31114228]"
63_1723092493-762141357.png,"[0.05268077 0.1389159  0.19816701 0.2471716  0.28547687 0.31286778
 0.32912311 0.3338123 ]"
64_1723092493-795429932.png,"[0.05666929 0.14521142 0.20466079 0.25618695 0.29743919 0.32664826
 0.34225464 0.34246084]"
65_1723092493-828719971.png,"[0.05478613 0.12964161 0.18161097 0.23724425 0.28609827 0.31962836
 0.3305304  0.31086432]"
66_1723092493-862063232.png,"[0.05940391 0.14211445 0.19520252 0.24864406 0.29524729 0.32920067
 0.34562861 0.33951319]"
67_1723092493-895407715.png,"[0.06346655 0.15180266 0.20568876 0.25868441 0.30518979 0.34075481
 0.36175692 0.36467011]"
68_1723092493-928751221.png,"[0.04049108 0.12721307 0.2034326  0.26343068 0.3110684  0.34987662
 0.38290318 0.41273767]"
69_1723092493-962096191.png,"[0.04266772 0.13227304 0.21013181 0.27202454 0.3217989  0.36296656
 0.39853853 0.43104152]"
70_1723092493-995440186.png,"[0.04402985 0.13549538 0.21518406 0.2794405  0.33168849 0.3751047
 0.41242169 0.44592387]"
71_1723092494-28785156.png,"[0.04583145 0.13696928 0.21767031 0.28591394 0.341988   0.38667543
 0.42087491 0.445372  ]"
72_1723092494-62129639.png,"[0.04536609 0.13844983 0.2244254  0.29706756 0.35558397 0.4000811
 0.43094436 0.44837919]"
73_1723092494-95475098.png,"[0.04627807 0.13995333 0.22847548 0.30496641 0.36643755 0.41150358
 0.4394357  0.44924628]"
74_1723092494-128819824.png,"[0.0484142  0.1435695  0.23318121 0.31230994 0.37676475 0.42439782
 0.45404226 0.46437486]"
75_1723092494-162165771.png,"[0.04893059 0.14553735 0.23881738 0.32185177 0.38894746 0.43712047
 0.46464297 0.46941282]"
76_1723092494-195510742.png,"[0.04865795 0.14813656 0.24573463 0.33125372 0.39978413 0.44909187
 0.47808275 0.48525917]"
77_1723092494-228856934.png,"[0.04901158 0.14824635 0.24862771 0.33858511 0.41062462 0.46103574
 0.48777366 0.48809799]"
78_1723092494-262202393.png,"[0.0493744  0.14899228 0.25203889 0.34590472 0.42155921 0.47456861
 0.50263506 0.50276728]"
79_1723092494-295548828.png,"[0.04991397 0.15289992 0.25901803 0.35424841 0.43103788 0.48609428
 0.51808824 0.52527635]"
80_1723092494-328894531.png,"[0.05248796 0.15184557 0.25832512 0.36057304 0.4434446  0.49937036
 0.52438375 0.51299231]"
81_1723092494-362241455.png,"[0.05227308 0.15206311 0.26217935 0.36843979 0.45398441 0.51070666
 0.53447498 0.51910092]"
82_1723092494-395587646.png,"[0.05400236 0.15598676 0.26586769 0.37224446 0.45957946 0.5205616
 0.55210346 0.55038338]"
83_1723092494-428934814.png,"[0.05472529 0.16003804 0.2756273  0.38609434 0.47490685 0.53489866
 0.56313563 0.55508955]"
84_1723092494-462281250.png,"[0.05873628 0.16674575 0.28328432 0.39602806 0.48628365 0.54607185
 0.57206472 0.55871084]"
85_1723092494-495628906.png,"[0.05948716 0.17085179 0.29160166 0.40685848 0.49823705 0.55848541
 0.58489956 0.57239485]"
86_1723092494-528975586.png,"[0.05941277 0.17258312 0.29343629 0.40769429 0.49950513 0.56285988
 0.59614995 0.59670562]"
87_1723092494-562323486.png,"[0.06251779 0.17496282 0.29693873 0.41657675 0.51297098 0.57808008
 0.60962848 0.60367085]"
88_1723092494-595670654.png,"[0.06243635 0.17547862 0.29868911 0.41966192 0.51770936 0.58507153
 0.61998428 0.61956776]"
89_1723092494-629018799.png,"[0.06372624 0.17945714 0.30535282 0.42797499 0.52651245 0.59359988
 0.62779238 0.62623239]"
90_1723092494-662366455.png,"[0.06708082 0.18605833 0.3094026  0.42991528 0.52885637 0.59949872
 0.64103037 0.65259061]"
91_1723092494-695715088.png,"[0.06599911 0.18461414 0.31170605 0.43624626 0.53792181 0.60982601
 0.65144108 0.66200977]"
92_1723092494-729062744.png,"[0.06736642 0.18661207 0.31282777 0.43794519 0.54176407 0.61727754
 0.66425929 0.68304325]"
93_1723092494-762411865.png,"[0.06817304 0.18761616 0.31488228 0.44188567 0.54705945 0.62303137
 0.66962024 0.68710699]"
94_1723092494-795760010.png,"[0.06833028 0.19164968 0.32207419 0.44976906 0.55568627 0.63385106
 0.68491429 0.71033642]"
95_1723092494-829109131.png,"[0.06854973 0.1903572  0.3206507  0.45054065 0.5592484  0.64001626
 0.69346839 0.72137191]"
96_1723092494-862416992.png,"[0.06939118 0.1949445  0.32707829 0.45665314 0.56523671 0.64720461
 0.70366305 0.73697118]"
97_1723092494-895725586.png,"[0.07150081 0.19528943 0.32507424 0.45667336 0.56902351 0.65499839
 0.71538497 0.75284398]"
98_1723092494-929032715.png,"[0.07424685 0.19848542 0.3265114  0.4594242  0.5750171  0.66524351
 0.73068171 0.77437733]"
99_1723092494-962340576.png,"[0.0756704  0.20470435 0.3301462  0.45871017 0.57455667 0.67098677
 0.74789219 0.80790913]"
100_1723092494-995647217.png,"[0.07661462 0.20285768 0.33297124 0.46916391 0.58756784 0.6797981
 0.74675882 0.79191927]"
101_1723092495-28954346.png,"[0.07892977 0.20425238 0.33659136 0.47788509 0.59886858 0.69000033
 0.75266278 0.7904819 ]"
102_1723092495-62260254.png,"[0.082533   0.21429345 0.3455578  0.48456969 0.60660484 0.70295388
 0.77471958 0.82588245]"
103_1723092495-95566895.png,"[0.0849108  0.22409562 0.35757583 0.4947197  0.61540871 0.71268819
 0.78775803 0.84442129]"
104_1723092495-128872070.png,"[0.0869305  0.22573048 0.36142696 0.50344593 0.62741399 0.72540699
 0.79916283 0.85309538]"
105_1723092495-162177979.png,"[0.08346199 0.21893483 0.35284204 0.49484293 0.62207667 0.725778
 0.80668245 0.86880295]"
106_1723092495-195482666.png,"[0.0855717  0.22086484 0.35326112 0.4959234  0.62435428 0.72895592
 0.81031459 0.87253589]"
107_1723092495-228787842.png,"[0.08805113 0.23089937 0.36580009 0.507767   0.63673376 0.74426034
 0.83047364 0.89887021]"
108_1723092495-262091553.png,"[0.08988185 0.23862652 0.37521852 0.51574432 0.64377278 0.75200869
 0.84029403 0.91157048]"
109_1723092495-295396240.png,"[0.08942726 0.23595384 0.374568   0.51913277 0.64974483 0.75832789
 0.84533058 0.91444043]"
110_1723092495-328699463.png,"[0.09204898 0.24074319 0.38160478 0.52861908 0.65982694 0.76723624
 0.85206494 0.91859077]"
111_1723092495-362003418.png,"[0.09380338 0.24618801 0.38866799 0.53649765 0.66887714 0.77797904
 0.86482649 0.93352448]"
112_1723092495-395305908.png,"[0.09450444 0.25098289 0.39665688 0.54549234 0.67843746 0.78835613
 0.87632113 0.94632136]"
113_1723092495-428609131.png,"[0.09441962 0.25108189 0.39694451 0.54694757 0.68213577 0.79470943
 0.88521879 0.95744844]"
114_1723092495-461910889.png,"[0.09731333 0.25994398 0.40379318 0.55002552 0.68448257 0.7995048
 0.894074   0.97069517]"
115_1723092495-495213623.png,"[0.09863333 0.26693161 0.41374083 0.56093137 0.69704179 0.8145264
 0.91164773 0.99041667]"
116_1723092495-528514893.png,"[0.09825998 0.27178633 0.42392717 0.57245345 0.70845226 0.82560406
 0.92248814 1.00110041]"
117_1723092495-561816650.png,"[0.10360465 0.28142508 0.43070261 0.57875622 0.71699972 0.83743295
 0.93718866 1.01774818]"
118_1723092495-595117188.png,"[0.10232275 0.28401938 0.43934153 0.5888757  0.72571632 0.84374412
 0.94125222 1.02010454]"
119_1723092495-628418457.png,"[0.10354348 0.29147451 0.44777269 0.5962541  0.7342919  0.85535276
 0.9560769  1.03739228]"
120_1723092495-661718262.png,"[0.10554098 0.29192843 0.44732138 0.59882284 0.74021493 0.86316874
 0.96429894 1.04514908]"
121_1723092495-695019043.png,"[0.10636892 0.29515675 0.451098   0.60268697 0.74477082 0.86870986
 0.97063559 1.05193145]"
122_1723092495-728318115.png,"[0.10962651 0.30123157 0.45738755 0.61082905 0.75517871 0.88055851
 0.98285486 1.06379634]"
123_1723092495-761618164.png,"[0.10992287 0.30274616 0.46373293 0.62227407 0.7692819  0.89464566
 0.99545998 1.07452082]"
124_1723092495-794916748.png,"[0.11026806 0.30567347 0.4660592  0.62470772 0.77440054 0.90320362
 1.00662106 1.08713993]"
125_1723092495-828216553.png,"[0.11115103 0.31144641 0.47650029 0.63743442 0.78764643 0.91574421
 1.01792044 1.0971356 ]"
126_1723092495-861566895.png,"[0.11149044 0.31570538 0.48577614 0.64881264 0.79854864 0.92487727
 1.02513493 1.10275943]"
127_1723092495-894918213.png,"[0.11025656 0.31918639 0.49145713 0.65367169 0.8036449  0.93114199
 1.03251858 1.11082628]"
