Image Filename,Joint Angles
1_1723092586-365466309.png,"[-0.00230632  0.00156151  0.01701996  0.03440524  0.05171135  0.06694993
  0.07816344  0.0834199 ]"
2_1723092586-398781250.png,"[-0.0017762   0.00291101  0.01754561  0.03345547  0.04977873  0.06565844
  0.08024955  0.09272358]"
3_1723092586-432094971.png,"[-0.00250465  0.00160713  0.01704359  0.03403833  0.0513826   0.06787613
  0.08233761  0.09360949]"
4_1723092586-465409180.png,"[-0.00196707  0.00207173  0.01695661  0.03382578  0.05105132  0.06701706
  0.08013169  0.08883104]"
5_1723092586-498722412.png,"[-0.00270749  0.00026185  0.01569516  0.03389559  0.05249476  0.06914337
  0.08153095  0.08738218]"
6_1723092586-532036377.png,"[-0.0021754   0.00145042  0.01657309  0.03403813  0.05175276  0.06764104
  0.07965965  0.08579505]"
7_1723092586-565348877.png,"[-0.00196707  0.00207173  0.01695661  0.03382578  0.05105132  0.06701706
  0.08013169  0.08883104]"
8_1723092586-598662354.png,"[-0.00220876  0.00151388  0.01681616  0.03433721  0.05195526  0.06756663
  0.07910049  0.08451431]"
9_1723092586-631974365.png,"[-0.0029771   0.00125505  0.01710073  0.03386654  0.05067143  0.06664148
  0.08091691  0.09265557]"
10_1723092586-665287354.png,"[-0.00216821  0.00212594  0.01697475  0.03334994  0.05037898  0.06719302
  0.08293505  0.09676601]"
11_1723092586-698598877.png,"[-0.00277712  0.00054956  0.01610065  0.03391334  0.05203991  0.06854819
  0.08153768  0.08913973]"
12_1723092586-731911133.png,"[-0.00199899  0.00229169  0.01718561  0.03368234  0.05047534  0.06626722
  0.07978013  0.08975926]"
13_1723092586-765222168.png,"[-0.00271486 -0.00041429  0.01529218  0.03458173  0.05386561  0.06958919
  0.07825423  0.07638499]"
14_1723092586-798533936.png,"[-0.00183617  0.00325754  0.01793607  0.03342126  0.04951514  0.06601825
  0.08273126  0.09945677]"
15_1723092586-831844482.png,"[-0.00190808  0.00368694  0.01841603  0.03325833  0.04870662  0.06524689
  0.08335324  0.10348043]"
16_1723092586-865155762.png,"[-0.00140047  0.00318946  0.01747967  0.03347325  0.04998165  0.06582322
  0.07983303  0.09086764]"
17_1723092586-898465820.png,"[-0.00281324  0.00136114  0.01728417  0.03436808  0.05130602  0.06680293
  0.07958486  0.08839981]"
18_1723092586-931776611.png,"[-0.00230632  0.00156151  0.01701996  0.03440524  0.05171135  0.06694993
  0.07816344  0.0834199 ]"
19_1723092586-965086182.png,"[-0.00195995  0.00274704  0.01735793  0.03313712  0.04967674  0.06656819
  0.08340593  0.09979113]"
20_1723092586-998396240.png,"[-0.0015449   0.00304085  0.0172648   0.03314576  0.04990426  0.06676256
  0.08295183  0.0977186 ]"
21_1723092587-31705322.png,"[-0.0021428   0.00306558  0.01806786  0.03348999  0.04939652  0.06584902
  0.08290528  0.10061842]"
22_1723092587-65014893.png,"[-0.00279195  0.00167675  0.01734022  0.03374208  0.05017956  0.06595536
  0.08038323  0.09279131]"
23_1723092587-98340820.png,"[-0.00245738  0.00193201  0.0170771   0.0333984   0.05026484  0.06704762
  0.08312605  0.09789248]"
24_1723092587-131735107.png,"[-0.00213627  0.00190603  0.01674583  0.03349349  0.05095506  0.06794276
  0.08328626  0.09583955]"
25_1723092587-165128662.png,"[-0.00270749  0.00026185  0.01569516  0.03389559  0.05249476  0.06914337
  0.08153095  0.08738218]"
26_1723092587-198523682.png,"[-0.00213627  0.00190603  0.01674583  0.03349349  0.05095506  0.06794276
  0.08328626  0.09583955]"
27_1723092587-231917725.png,"[-0.0022352   0.00179739  0.01696417  0.03400477  0.05149037  0.06800214
  0.08214351  0.09254471]"
28_1723092587-265312988.png,"[-0.00343228 -0.00059798  0.01552517  0.03403213  0.05278211  0.0696525
  0.08255718  0.0894446 ]"
29_1723092587-298707520.png,"[-0.00220122  0.00234435  0.01722709  0.0333282   0.05014599  0.06717903
  0.08393087  0.09991458]"
30_1723092587-332103271.png,"[-0.00256265  0.00137255  0.01708218  0.03442749  0.05160769  0.06683824
  0.07836265  0.08444891]"
31_1723092587-365498291.png,"[-0.0017762   0.00291101  0.01754561  0.03345547  0.04977873  0.06565844
  0.08024955  0.09272358]"
32_1723092587-398894531.png,"[-0.00220733  0.00167034  0.01680199  0.03389458  0.05117677  0.06689119
  0.07930779  0.08672357]"
