Image Filename,Joint Angles
1_1723092764-673651123.png,"[-0.00291522 -0.0016752   0.0128124   0.03164051  0.05138793  0.06865787
  0.08010881  0.08244037]"
2_1723092764-706999268.png,"[-0.00343682 -0.00174579  0.01307636  0.03121088  0.05024274  0.06777194
  0.08143696  0.08891706]"
3_1723092764-740348633.png,"[-0.00350038 -0.00053583  0.01525404  0.03282547  0.05034369  0.06598943
  0.07797211  0.08452744]"
4_1723092764-773697266.png,"[-0.00350038 -0.00053583  0.01525404  0.03282547  0.05034369  0.06598943
  0.07797211  0.08452744]"
5_1723092764-807047119.png,"[-0.00353532 -0.0001648   0.01551467  0.03240477  0.04935943  0.0652413
  0.07893092  0.08932982]"
6_1723092764-840395996.png,"[-0.00420208 -0.00112095  0.01534173  0.03286859  0.05011409  0.06574529
  0.0784513   0.08694358]"
7_1723092764-873746094.png,"[-0.0034068  -0.00036393  0.01511377  0.03231569  0.04971786  0.06580772
  0.07909624  0.08812035]"
8_1723092764-907095459.png,"[-0.00333579 -0.00048212  0.01489919  0.03233845  0.05011632  0.06652586
  0.07988695  0.08854872]"
9_1723092764-940446045.png,"[-0.00350038 -0.00053583  0.01525404  0.03282547  0.05034369  0.06598943
  0.07797211  0.08452744]"
10_1723092764-973795898.png,"[-0.00350038 -0.00053583  0.01525404  0.03282547  0.05034369  0.06598943
  0.07797211  0.08452744]"
11_1723092765-7146973.png,"[-0.00291522 -0.0016752   0.0128124   0.03164051  0.05138793  0.06865787
  0.08010881  0.08244037]"
12_1723092765-40497070.png,"[-0.00399772 -0.0010382   0.01497568  0.03237547  0.04990018  0.0662985
  0.08033944  0.09081593]"
13_1723092765-73848389.png,"[-0.0034643  -0.00028296  0.01530005  0.03242747  0.0497578   0.0659594
  0.07972152  0.08975776]"
14_1723092765-107198975.png,"[-0.00342935 -0.00065396  0.01503954  0.03284833  0.0507422   0.06670769
  0.07876328  0.08495657]"
15_1723092765-140550781.png,"[-0.00409782 -0.0012185   0.01511176  0.03288191  0.05052325  0.06648095
  0.07922588  0.08725443]"
16_1723092765-173901611.png,"[-0.0034068  -0.00036393  0.01511377  0.03231569  0.04971786  0.06580772
  0.07909624  0.08812035]"
17_1723092765-207253906.png,"[-0.00420208 -0.00112095  0.01534173  0.03286859  0.05011409  0.06574529
  0.0784513   0.08694358]"
18_1723092765-240605225.png,"[-0.00354101 -0.0016481   0.01330643  0.03119753  0.04983349  0.06703641
  0.08066279  0.08860618]"
19_1723092765-273957764.png,"[-0.00335266 -0.00222876  0.01300937  0.03244347  0.05234907  0.06903296
  0.07886193  0.07823468]"
20_1723092765-307309570.png,"[-0.00282167 -0.00150336  0.01267217  0.03113093  0.05076261  0.06847658
  0.08123222  0.08603451]"
21_1723092765-340662354.png,"[-0.00350038 -0.00053583  0.01525404  0.03282547  0.05034369  0.06598943
  0.07797211  0.08452744]"
22_1723092765-374014648.png,"[-0.00346226 -0.00040568  0.01551182  0.0332044   0.05080381  0.06645811
  0.07834489  0.08466812]"
23_1723092765-407367920.png,"[-0.00420208 -0.00112095  0.01534173  0.03286859  0.05011409  0.06574529
  0.0784513   0.08694358]"
24_1723092765-440720459.png,"[-0.00418885 -0.00059776  0.01549718  0.0319612   0.04849053  0.06478337
  0.08054241  0.09547717]"
25_1723092765-474074219.png,"[-0.00333579 -0.00048212  0.01489919  0.03233845  0.05011632  0.06652586
  0.07988695  0.08854872]"
26_1723092765-507427002.png,"[-0.00333579 -0.00048212  0.01489919  0.03233845  0.05011632  0.06652586
  0.07988695  0.08854872]"
27_1723092765-540781250.png,"[-0.00285656 -0.00113226  0.0129328   0.03071016  0.04977858  0.06772926
  0.08219062  0.0908349 ]"
28_1723092765-574134521.png,"[-0.00353532 -0.0001648   0.01551467  0.03240477  0.04935943  0.0652413
  0.07893092  0.08932982]"
29_1723092765-607489014.png,"[-0.00420208 -0.00112095  0.01534173  0.03286859  0.05011409  0.06574529
  0.0784513   0.08694358]"
30_1723092765-640842773.png,"[-0.00342935 -0.00065396  0.01503954  0.03284833  0.0507422   0.06670769
  0.07876328  0.08495657]"
31_1723092765-674187500.png,"[-0.00342935 -0.00065396  0.01503954  0.03284833  0.0507422   0.06670769
  0.07876328  0.08495657]"
32_1723092765-707500977.png,"[-0.00350038 -0.00053583  0.01525404  0.03282547  0.05034369  0.06598943
  0.07797211  0.08452744]"
33_1723092765-740815186.png,"[-0.0034068  -0.00036393  0.01511377  0.03231569  0.04971786  0.06580772
  0.07909624  0.08812035]"
34_1723092765-774127930.png,"[0.00044539 0.00788727 0.02540645 0.04493099 0.06399329 0.08015907
 0.0910424  0.0942877 ]"
35_1723092765-807441650.png,"[-0.00048389  0.0095257   0.03029291  0.05043663  0.06956482  0.08729773
  0.10326999  0.11713077]"
36_1723092765-840753906.png,"[0.00602696 0.01652539 0.03545812 0.06046049 0.08498147 0.10260999
 0.10709276 0.09212055]"
37_1723092765-874066895.png,"[0.00696771 0.01833703 0.03823024 0.0652337  0.0924819  0.11327567
 0.12113301 0.10956503]"
38_1723092765-907378662.png,"[0.00746257 0.02191953 0.04605284 0.07576513 0.10379287 0.12310907
 0.12691251 0.10827403]"
39_1723092765-940691162.png,"[0.0094853  0.02808206 0.05317474 0.08200772 0.10963298 0.13127651
 0.14236238 0.13835292]"
40_1723092765-974002197.png,"[0.01426322 0.03331099 0.05628606 0.08779065 0.11949075 0.1433678
 0.15177792 0.13703683]"
41_1723092766-7314209.png,"[0.01576693 0.03930719 0.06501608 0.09683491 0.12808848 0.15239174
 0.16369345 0.15597951]"
42_1723092766-40624756.png,"[0.01615563 0.040775   0.06898078 0.1038423  0.13783111 0.16380336
 0.17504259 0.16484452]"
43_1723092766-73936035.png,"[0.02073853 0.05213116 0.07880149 0.10931208 0.14080913 0.17055613
 0.19600615 0.21481142]"
44_1723092766-107246094.png,"[0.02353687 0.05615857 0.08221867 0.11443479 0.14913762 0.18279766
 0.21215329 0.23425067]"
45_1723092766-140556641.png,"[0.02597854 0.05976293 0.08736326 0.12364839 0.16233743 0.1974877
 0.22370455 0.23604371]"
46_1723092766-173865967.png,"[0.02841948 0.07648531 0.1198382  0.16332938 0.20205392 0.23165799
 0.24824223 0.24796135]"
47_1723092766-207176025.png,"[0.02567264 0.06349079 0.09988817 0.14382674 0.18773767 0.22469555
 0.24859375 0.25375788]"
48_1723092766-240484863.png,"[0.03029333 0.08377619 0.1368979  0.18922663 0.23183729 0.25706562
 0.25776932 0.22570407]"
49_1723092766-273794434.png,"[0.03137251 0.09194475 0.14713404 0.19629572 0.23746091 0.26908722
 0.28988149 0.29855378]"
50_1723092766-307102783.png,"[0.03293896 0.09315992 0.15478297 0.21387973 0.25978371 0.28366256
 0.27708653 0.22937048]"
51_1723092766-340411621.png,"[0.03509836 0.1049473  0.16721439 0.21978374 0.26204608 0.29372324
 0.31462773 0.32445724]"
52_1723092766-373719238.png,"[0.03618774 0.10615408 0.1712254  0.22874795 0.27466033 0.3058471
 0.31957503 0.31269726]"
53_1723092766-407027588.png,"[0.03635285 0.10612891 0.17542116 0.2392924  0.29008837 0.32192838
 0.3296174  0.30682229]"
54_1723092766-440334473.png,"[0.03888784 0.11640522 0.18542491 0.24403825 0.29225814 0.33044148
 0.35904218 0.37844153]"
55_1723092766-473642334.png,"[0.04017585 0.11671794 0.18963272 0.25559134 0.30830224 0.34317904
 0.35634812 0.3431511 ]"
56_1723092766-506948730.png,"[0.0404047  0.11641774 0.19251898 0.26427959 0.32257786 0.36087478
 0.37385763 0.3551014 ]"
57_1723092766-540255859.png,"[0.04001665 0.11844205 0.20038748 0.27649408 0.33635468 0.37273724
 0.37952803 0.34846792]"
58_1723092766-573561768.png,"[0.03680859 0.09590075 0.1637955  0.24122231 0.30985928 0.35587784
 0.36860042 0.33571379]"
59_1723092766-606868408.png,"[0.03698013 0.09917779 0.17022472 0.24908503 0.3191561  0.36816625
 0.3870472  0.36593881]"
60_1723092766-640173584.png,"[0.03792196 0.10203858 0.17463018 0.25504334 0.32720879 0.37941803
 0.40338967 0.39066193]"
61_1723092766-673482178.png,"[0.03792458 0.10092774 0.17758339 0.26504488 0.34286027 0.39663881
 0.41642017 0.39104633]"
62_1723092766-706795410.png,"[0.03838499 0.10271902 0.18193724 0.27206406 0.35195158 0.40703517
 0.4274865  0.40220753]"
63_1723092766-740109375.png,"[0.03931894 0.10282915 0.18328546 0.27739078 0.36105902 0.41799556
 0.43747207 0.40697125]"
