Image Filename,Joint Angles
1_1723092963-786184814.png,"[-0.00263311 -0.00070002  0.01340267  0.03092624  0.04903995  0.06493253
  0.0758335   0.07900412]"
2_1723092963-819557373.png,"[-0.0020139   0.00219262  0.01566726  0.03019451  0.04556243  0.06155676
  0.0779623   0.09456473]"
3_1723092963-852929199.png,"[-0.00339675 -0.00169839  0.01289997  0.03055172  0.048767    0.06507277
  0.07703289  0.08224465]"
4_1723092963-886302246.png,"[-0.0035077  -0.00155415  0.01328116  0.03083261  0.0488966   0.06528441
  0.07784036  0.08444138]"
5_1723092963-919674805.png,"[-0.0035077  -0.00155415  0.01328116  0.03083261  0.0488966   0.06528441
  0.07784036  0.08444138]"
6_1723092963-953048828.png,"[-0.00339675 -0.00169839  0.01289997  0.03055172  0.048767    0.06507277
  0.07703289  0.08224465]"
7_1723092963-986422119.png,"[-0.00339675 -0.00169839  0.01289997  0.03055172  0.048767    0.06507277
  0.07703289  0.08224465]"
8_1723092964-19796631.png,"[-0.00278522 -0.00051869  0.01353157  0.0304705   0.04824032  0.06479477
  0.07811707  0.08622349]"
9_1723092964-53170654.png,"[-0.00358808 -0.00153962  0.01343937  0.03090973  0.04869499  0.06463427
  0.07659899  0.08249028]"
10_1723092964-86545898.png,"[-0.00285342 -0.0012883   0.01274588  0.0304883   0.04912331  0.06585295
  0.07792133  0.08261029]"
11_1723092964-119920654.png,"[-0.00305037 -0.00106549  0.01341366  0.03090514  0.04887359  0.06480129
  0.07620739  0.08064244]"
12_1723092964-153296631.png,"[-0.00360848 -0.00121057  0.01362089  0.03050465  0.04795894  0.06451029
  0.07870676  0.0891231 ]"
13_1723092964-186671875.png,"[-0.00360848 -0.00121057  0.01362089  0.03050465  0.04795894  0.06451029
  0.07870676  0.0891231 ]"
14_1723092964-220048340.png,"[-0.00433761 -0.00067287  0.01576496  0.03218141  0.04797769  0.06256222
  0.07535417  0.08578408]"
15_1723092964-253379395.png,"[-0.00305037 -0.00106549  0.01341366  0.03090514  0.04887359  0.06480129
  0.07620739  0.08064244]"
16_1723092964-286711182.png,"[-0.00358808 -0.00153962  0.01343937  0.03090973  0.04869499  0.06463427
  0.07659899  0.08249028]"
17_1723092964-320041992.png,"[-0.002265   -0.00065268  0.01295045  0.03065255  0.04920391  0.06537638
  0.07598878  0.07789371]"
18_1723092964-353373535.png,"[-0.00272091 -0.00108235  0.0129059   0.03058046  0.04900579  0.06526574
  0.07648703  0.07983081]"
19_1723092964-386704102.png,"[-0.00298966 -0.00109327  0.01326281  0.03083235  0.0490687   0.06544205
  0.07746038  0.082666  ]"
20_1723092964-420035400.png,"[-0.0035077  -0.00155415  0.01328116  0.03083261  0.0488966   0.06528441
  0.07784036  0.08444138]"
21_1723092964-453365723.png,"[-0.00287727  0.0004      0.01534386  0.03197481  0.0486535   0.06375298
  0.07566995  0.08282434]"
22_1723092964-486696777.png,"[-0.00358808 -0.00153962  0.01343937  0.03090973  0.04869499  0.06463427
  0.07659899  0.08249028]"
23_1723092964-520026611.png,"[-0.00282539 -0.00087163  0.01340131  0.03091046  0.04896097  0.0648766
  0.07602012  0.07978591]"
24_1723092964-553357666.png,"[-0.00358808 -0.00153962  0.01343937  0.03090973  0.04869499  0.06463427
  0.07659899  0.08249028]"
25_1723092964-586687256.png,"[-0.00282539 -0.00087163  0.01340131  0.03091046  0.04896097  0.0648766
  0.07602012  0.07978591]"
26_1723092964-620017822.png,"[-0.00231462 -0.00041461  0.01341438  0.03096972  0.04918726  0.06502387
  0.07548021  0.07758827]"
27_1723092964-653347168.png,"[-0.00280588  0.00151106  0.01571664  0.03023898  0.04548078  0.06183869
  0.07969883  0.09943079]"
28_1723092964-686677490.png,"[-0.00305037 -0.00106549  0.01341366  0.03090514  0.04887359  0.06480129
  0.07620739  0.08064244]"
29_1723092964-720006592.png,"[-0.00254943 -0.00092335  0.01291721  0.03060228  0.04907821  0.06531157
  0.07631336  0.07912892]"
30_1723092964-753336670.png,"[-0.002265   -0.00065268  0.01295045  0.03065255  0.04920391  0.06537638
  0.07598878  0.07789371]"
31_1723092964-786665527.png,"[-0.00298966 -0.00109327  0.01326281  0.03083235  0.0490687   0.06544205
  0.07746038  0.082666  ]"
32_1723092964-819995361.png,"[-0.00433761 -0.00067287  0.01576496  0.03218141  0.04797769  0.06256222
  0.07535417  0.08578408]"
33_1723092964-853323975.png,"[-0.0035077  -0.00155415  0.01328116  0.03083261  0.0488966   0.06528441
  0.07784036  0.08444138]"
34_1723092964-886653320.png,"[-0.00298966 -0.00109327  0.01326281  0.03083235  0.0490687   0.06544205
  0.07746038  0.082666  ]"
35_1723092964-919981689.png,"[-0.00358808 -0.00153962  0.01343937  0.03090973  0.04869499  0.06463427
  0.07659899  0.08249028]"
36_1723092964-953311035.png,"[-0.00305037 -0.00106549  0.01341366  0.03090514  0.04887359  0.06480129
  0.07620739  0.08064244]"
37_1723092964-986639160.png,"[-0.00242355  0.00073952  0.01526341  0.03198759  0.0488879   0.0639551
  0.07520837  0.08069228]"
38_1723092965-19968018.png,"[-0.00305037 -0.00106549  0.01341366  0.03090514  0.04887359  0.06480129
  0.07620739  0.08064244]"
39_1723092965-53295898.png,"[-0.00341745 -0.00136997  0.01308128  0.03014702  0.04803169  0.06494919
  0.07913928  0.0888737 ]"
40_1723092965-86624512.png,"[-0.00231462 -0.00041461  0.01341438  0.03096972  0.04918726  0.06502387
  0.07548021  0.07758827]"
41_1723092965-119952148.png,"[-0.00231462 -0.00041461  0.01341438  0.03096972  0.04918726  0.06502387
  0.07548021  0.07758827]"
42_1723092965-153280518.png,"[-0.00316077  0.00056839  0.01566002  0.03161315  0.04763546  0.06294005
  0.07675154  0.08830918]"
43_1723092965-186607666.png,"[-0.00223325 -0.00069601  0.01281516  0.03058686  0.04938584  0.06599923
  0.07726201  0.08004676]"
44_1723092965-219936035.png,"[-0.00433761 -0.00067287  0.01576496  0.03218141  0.04797769  0.06256222
  0.07535417  0.08578408]"
45_1723092965-253344727.png,"[-0.00298966 -0.00109327  0.01326281  0.03083235  0.0490687   0.06544205
  0.07746038  0.082666  ]"
46_1723092965-286754883.png,"[-0.00352344 -0.00041469  0.01536589  0.03251691  0.04920719  0.06362217
  0.07397379  0.07849411]"
47_1723092965-320164307.png,"[-0.00331637 -0.00171291  0.01274177  0.0304746   0.04896861  0.06572283
  0.07827419  0.08419611]"
48_1723092965-353574951.png,"[-3.50521103e-03 -7.49803116e-05  1.54887108e-02  3.20412260e-02
  4.84244068e-02  6.34897811e-02  7.61063754e-02  8.51620088e-02]"
49_1723092965-386985107.png,"[0.00022575 0.00608765 0.01930341 0.03435515 0.05068692 0.06774083
 0.08496182 0.1018032 ]"
50_1723092965-420396729.png,"[0.0062742  0.01543174 0.02599797 0.04092607 0.0586545  0.07762108
 0.09627995 0.11311953]"
51_1723092965-453807617.png,"[0.00546018 0.0119434  0.02674133 0.05025213 0.07515166 0.09422847
 0.10044301 0.0867404 ]"
52_1723092965-487219727.png,"[0.0072784  0.01564974 0.03173525 0.0573205  0.08442804 0.10523272
 0.11213666 0.09752397]"
53_1723092965-520631348.png,"[0.00729458 0.01700997 0.03598842 0.06423011 0.09319254 0.11454173
 0.12021608 0.1020824 ]"
54_1723092965-554044434.png,"[0.00817033 0.01984678 0.04194051 0.07335139 0.10436727 0.12558432
 0.12792807 0.10210333]"
55_1723092965-587456787.png,"[0.00896379 0.02601557 0.05045744 0.07980179 0.10852138 0.13127562
 0.14295342 0.13849675]"
56_1723092965-620870361.png,"[0.01300349 0.02878016 0.05189415 0.08619611 0.1207568  0.14508373
 0.14917265 0.12276779]"
57_1723092965-654283447.png,"[0.01606008 0.03785919 0.06060282 0.09101606 0.12264042 0.14925237
 0.16496999 0.16407017]"
58_1723092965-687697998.png,"[0.01690139 0.04142558 0.06595372 0.09680385 0.12866664 0.15644119
 0.17533596 0.18076376]"
59_1723092965-721111816.png,"[0.01678707 0.04290371 0.06934494 0.10137161 0.13483895 0.16576637
 0.19044982 0.20544801]"
60_1723092965-754527100.png,"[0.01841872 0.04561462 0.07264739 0.1068057  0.14337979 0.17785034
 0.20605384 0.22419242]"
61_1723092965-787941650.png,"[0.02245472 0.05187081 0.07860066 0.1148524  0.15415059 0.19032687
 0.21776129 0.23131858]"
62_1723092965-821357422.png,"[0.02467934 0.05567657 0.08408648 0.12369564 0.16597904 0.20292178
 0.22731021 0.23243908]"
63_1723092965-854772705.png,"[0.0264148  0.06908221 0.11463268 0.16578299 0.21196798 0.24389233
 0.25325384 0.2312896 ]"
64_1723092965-888189453.png,"[0.02764034 0.07790491 0.12582409 0.17352222 0.21749032 0.25470458
 0.28262601 0.29901352]"
65_1723092965-921605469.png,"[0.02590102 0.06351239 0.10356981 0.1540298  0.20454128 0.24581186
 0.26987039 0.26926329]"
66_1723092965-955022949.png,"[0.03088221 0.0867839  0.14355355 0.2002508  0.24875699 0.28233665
 0.29515231 0.28096217]"
67_1723092965-988439697.png,"[0.03201743 0.09029628 0.15009605 0.20926544 0.25859969 0.29056247
 0.29851574 0.27493177]"
68_1723092966-21857666.png,"[0.03359032 0.09646799 0.15801339 0.21683912 0.26691954 0.30346787
 0.32251807 0.32000379]"
69_1723092966-55275391.png,"[0.03475465 0.10416751 0.16913374 0.22655796 0.27454398 0.31180708
 0.3374052  0.35041809]"
