Image Filename,Joint Angles
1_1723093045-955710205.png,"[-0.11784324 -0.29625733 -0.38511928 -0.43465946 -0.44403309 -0.40701058
 -0.30665627 -0.11182536]"
2_1723093045-989007080.png,"[-0.12093711 -0.29945179 -0.38552104 -0.43444836 -0.44410486 -0.40741971
 -0.30654849 -0.10874618]"
3_1723093046-22302490.png,"[-0.11841355 -0.29687546 -0.38491754 -0.43397322 -0.44321539 -0.40651561
 -0.30727403 -0.11498864]"
4_1723093046-55598633.png,"[-0.11782474 -0.29580681 -0.38461849 -0.43451896 -0.44431175 -0.40752797
 -0.30688285 -0.11052224]"
5_1723093046-88893311.png,"[-0.11784324 -0.29625733 -0.38511928 -0.43465946 -0.44403309 -0.40701058
 -0.30665627 -0.11182536]"
6_1723093046-122188721.png,"[-0.12087691 -0.29999853 -0.38584699 -0.43391028 -0.44291636 -0.40652216
 -0.30813043 -0.11732006]"
7_1723093046-155482666.png,"[-0.11778893 -0.29645587 -0.38551958 -0.43497859 -0.44412981 -0.40680126
 -0.30607832 -0.11090485]"
8_1723093046-188777100.png,"[-0.11801522 -0.29611261 -0.38429881 -0.43358064 -0.44315802 -0.40699264
 -0.30867782 -0.11795151]"
9_1723093046-222070313.png,"[-0.11841355 -0.29687546 -0.38491754 -0.43397322 -0.44321539 -0.40651561
 -0.30727403 -0.11498864]"
10_1723093046-255364014.png,"[-0.11882994 -0.296933   -0.38446848 -0.43364753 -0.44319204 -0.40666847
 -0.30708896 -0.11322918]"
11_1723093046-288656250.png,"[-0.11778893 -0.29645587 -0.38551958 -0.43497859 -0.44412981 -0.40680126
 -0.30607832 -0.11090485]"
12_1723093046-321949219.png,"[-0.11784324 -0.29625733 -0.38511928 -0.43465946 -0.44403309 -0.40701058
 -0.30665627 -0.11182536]"
13_1723093046-355240723.png,"[-0.11855987 -0.29722003 -0.38493965 -0.43358606 -0.44262342 -0.40620934
 -0.30828988 -0.11935843]"
14_1723093046-388532959.png,"[-0.11841355 -0.29687546 -0.38491754 -0.43397322 -0.44321539 -0.40651561
 -0.30727403 -0.11498864]"
15_1723093046-421823730.png,"[-0.1190109  -0.29733971 -0.38438638 -0.43297204 -0.44222324 -0.40610718
 -0.30841085 -0.11933486]"
16_1723093046-455114990.png,"[-0.11761463 -0.29642579 -0.38554015 -0.43479322 -0.4438032  -0.40667756
 -0.30697271 -0.11447021]"
17_1723093046-488401123.png,"[-0.11800654 -0.2962152  -0.38453736 -0.43384472 -0.44334347 -0.40696277
 -0.30819323 -0.1166105 ]"
18_1723093046-521745605.png,"[-0.12093675 -0.29989855 -0.38603886 -0.43459592 -0.4438152  -0.40688199
 -0.30632198 -0.11014166]"
19_1723093046-555089355.png,"[-0.11784324 -0.29625733 -0.38511928 -0.43465946 -0.44403309 -0.40701058
 -0.30665627 -0.11182536]"
20_1723093046-588434326.png,"[-0.1180332  -0.29656166 -0.38479848 -0.43372042 -0.44287913 -0.40647791
 -0.30846024 -0.11926903]"
21_1723093046-621778564.png,"[-0.12093711 -0.29945179 -0.38552104 -0.43444836 -0.44410486 -0.40741971
 -0.30654849 -0.10874618]"
22_1723093046-655123779.png,"[-0.11882994 -0.296933   -0.38446848 -0.43364753 -0.44319204 -0.40666847
 -0.30708896 -0.11322918]"
23_1723093046-688468262.png,"[-0.11784324 -0.29625733 -0.38511928 -0.43465946 -0.44403309 -0.40701058
 -0.30665627 -0.11182536]"
24_1723093046-721813721.png,"[-0.12093711 -0.29945179 -0.38552104 -0.43444836 -0.44410486 -0.40741971
 -0.30654849 -0.10874618]"
25_1723093046-755158447.png,"[-0.12093675 -0.29989855 -0.38603886 -0.43459592 -0.4438152  -0.40688199
 -0.30632198 -0.11014166]"
26_1723093046-788504395.png,"[-0.11782474 -0.29580681 -0.38461849 -0.43451896 -0.44431175 -0.40752797
 -0.30688285 -0.11052224]"
27_1723093046-821849609.png,"[-0.11782474 -0.29580681 -0.38461849 -0.43451896 -0.44431175 -0.40752797
 -0.30688285 -0.11052224]"
28_1723093046-855195801.png,"[-0.12154683 -0.30098392 -0.38633951 -0.4340537  -0.44272697 -0.40587511
 -0.30669178 -0.1145031 ]"
29_1723093046-888541260.png,"[-0.12093711 -0.29945179 -0.38552104 -0.43444836 -0.44410486 -0.40741971
 -0.30654849 -0.10874618]"
30_1723093046-921887695.png,"[-0.11782474 -0.29580681 -0.38461849 -0.43451896 -0.44431175 -0.40752797
 -0.30688285 -0.11052224]"
31_1723093046-955233398.png,"[-0.12147784 -0.30117726 -0.38674979 -0.43437705 -0.44281585 -0.40565196
 -0.30611787 -0.11365802]"
32_1723093046-988580322.png,"[-0.11843181 -0.29732509 -0.38541786 -0.43411389 -0.4429367  -0.40599884
 -0.30705107 -0.11629739]"
33_1723093047-21926514.png,"[-0.12093675 -0.29989855 -0.38603886 -0.43459592 -0.4438152  -0.40688199
 -0.30632198 -0.11014166]"
34_1723093047-55273682.png,"[-0.12090872 -0.29906028 -0.38531461 -0.43478865 -0.4448988  -0.40820704
 -0.30623785 -0.10501676]"
35_1723093047-88620117.png,"[-0.11843181 -0.29732509 -0.38541786 -0.43411389 -0.4429367  -0.40599884
 -0.30705107 -0.11629739]"
36_1723093047-121967529.png,"[-0.12093711 -0.29945179 -0.38552104 -0.43444836 -0.44410486 -0.40741971
 -0.30654849 -0.10874618]"
37_1723093047-155314453.png,"[-0.12093675 -0.29989855 -0.38603886 -0.43459592 -0.4438152  -0.40688199
 -0.30632198 -0.11014166]"
38_1723093047-188662109.png,"[-0.1215011  -0.30057341 -0.38616125 -0.43445603 -0.44357902 -0.40664211
 -0.30613613 -0.1100493 ]"
39_1723093047-222009277.png,"[-0.12093675 -0.29989855 -0.38603886 -0.43459592 -0.4438152  -0.40688199
 -0.30632198 -0.11014166]"
40_1723093047-255357422.png,"[-0.12135148 -0.29912156 -0.38487312 -0.43451597 -0.44495076 -0.40837642
 -0.30582647 -0.1024118 ]"
41_1723093047-288704834.png,"[-0.12093675 -0.29989855 -0.38603886 -0.43459592 -0.4438152  -0.40688199
 -0.30632198 -0.11014166]"
42_1723093047-322053467.png,"[-0.11784324 -0.29625733 -0.38511928 -0.43465946 -0.44403309 -0.40701058
 -0.30665627 -0.11182536]"
43_1723093047-355401123.png,"[-0.11784324 -0.29625733 -0.38511928 -0.43465946 -0.44403309 -0.40701058
 -0.30665627 -0.11182536]"
44_1723093047-388750000.png,"[-0.11836981 -0.29691513 -0.38525961 -0.4345248  -0.44377793 -0.40674312
 -0.30648751 -0.11191805]"
45_1723093047-422097900.png,"[-0.11784324 -0.29625733 -0.38511928 -0.43465946 -0.44403309 -0.40701058
 -0.30665627 -0.11182536]"
