Image Filename,Coefficients
1.png,[ 0.089627   -0.19780665  0.17733658 -0.02304814]
2.png,[ 0.089627   -0.19780665  0.17733658 -0.02304814]
3.png,[ 0.089627   -0.19780665  0.17733658 -0.02304814]
4.png,[ 0.10532156 -0.2296952   0.19726639 -0.02630701]
5.png,[ 0.089627   -0.19780665  0.17733658 -0.02304814]
6.png,[ 0.089627   -0.19780665  0.17733658 -0.02304814]
7.png,[ 0.089627   -0.19780665  0.17733658 -0.02304814]
8.png,[ 0.08057442 -0.18116175  0.16847207 -0.02173197]
9.png,[ 0.08057442 -0.18116175  0.16847207 -0.02173197]
10.png,[ 0.08057442 -0.18116175  0.16847207 -0.02173197]
11.png,[ 0.089627   -0.19780665  0.17733658 -0.02304814]
12.png,[ 0.089627   -0.19780665  0.17733658 -0.02304814]
13.png,[ 0.089627   -0.19780665  0.17733658 -0.02304814]
14.png,[ 0.089627   -0.19780665  0.17733658 -0.02304814]
15.png,[ 0.089627   -0.19780665  0.17733658 -0.02304814]
16.png,[ 0.089627   -0.19780665  0.17733658 -0.02304814]
17.png,[ 0.08057442 -0.18116175  0.16847207 -0.02173197]
18.png,[ 0.089627   -0.19780665  0.17733658 -0.02304814]
19.png,[ 0.08057442 -0.18116175  0.16847207 -0.02173197]
20.png,[ 0.08057442 -0.18116175  0.16847207 -0.02173197]
21.png,[ 0.089627   -0.19780665  0.17733658 -0.02304814]
22.png,[ 0.08057442 -0.18116175  0.16847207 -0.02173197]
23.png,[-0.10524679  0.19990247 -0.07779645  0.02747812]
24.png,[ 0.089627   -0.19780665  0.17733658 -0.02304814]
25.png,[ 0.089627   -0.19780665  0.17733658 -0.02304814]
26.png,[ 0.08057442 -0.18116175  0.16847207 -0.02173197]
27.png,[ 0.09313991 -0.20421847  0.18036031 -0.02280012]
28.png,[ 0.089627   -0.19780665  0.17733658 -0.02304814]
29.png,[ 0.089627   -0.19780665  0.17733658 -0.02304814]
30.png,[ 0.09313991 -0.20421847  0.18036031 -0.02280012]
31.png,[ 0.089627   -0.19780665  0.17733658 -0.02304814]
32.png,[ 0.089627   -0.19780665  0.17733658 -0.02304814]
33.png,[ 0.05897377 -0.17214248  0.17548441 -0.02397377]
34.png,[ 0.0686759  -0.18970143  0.18469135 -0.02531991]
35.png,[ 0.03069894 -0.12599392  0.15279085 -0.02093611]
36.png,[ 0.02118402 -0.10865467  0.1436357  -0.01958815]
37.png,[ 0.03802404 -0.14391887  0.16600159 -0.0237391 ]
38.png,[ 0.02485929 -0.11438896  0.1445786  -0.01874416]
39.png,[-0.00493655 -0.09457422  0.14888348 -0.02163388]
40.png,[ 0.00225253 -0.07352461  0.09231574  0.00633183]
41.png,[-0.1806571   0.3014849  -0.14996728  0.05472488]
42.png,[-0.08438545  0.14296557 -0.0860642   0.05472501]
