Image Filename,Coefficients
1.png,[ 0.25057363 -0.59602152  0.49002268 -0.1115582 ]
2.png,[ 0.070649   -0.19662457  0.19178772 -0.02737222]
3.png,[ 0.070649   -0.19662457  0.19178772 -0.02737222]
4.png,[ 0.070649   -0.19662457  0.19178772 -0.02737222]
5.png,[ 0.07566832 -0.20597447  0.1964465  -0.02737427]
6.png,[ 0.07566832 -0.20597447  0.1964465  -0.02737427]
7.png,[ 0.070649   -0.19662457  0.19178772 -0.02737222]
8.png,[ 0.070649   -0.19662457  0.19178772 -0.02737222]
9.png,[ 0.07566832 -0.20597447  0.1964465  -0.02737427]
10.png,[ 0.25057363 -0.59602152  0.49002268 -0.1115582 ]
11.png,[ 0.07566832 -0.20597447  0.1964465  -0.02737427]
12.png,[ 0.070649   -0.19662457  0.19178772 -0.02737222]
13.png,[ 0.070649   -0.19662457  0.19178772 -0.02737222]
14.png,[ 0.070649   -0.19662457  0.19178772 -0.02737222]
15.png,[ 0.070649   -0.19662457  0.19178772 -0.02737222]
16.png,[ 0.07566832 -0.20597447  0.1964465  -0.02737427]
17.png,[ 0.070649   -0.19662457  0.19178772 -0.02737222]
18.png,[ 0.05897377 -0.17214248  0.17548441 -0.02397377]
19.png,[ 0.070649   -0.19662457  0.19178772 -0.02737222]
20.png,[ 0.070649   -0.19662457  0.19178772 -0.02737222]
21.png,[ 0.070649   -0.19662457  0.19178772 -0.02737222]
22.png,[ 0.07566832 -0.20597447  0.1964465  -0.02737427]
23.png,[ 0.25057363 -0.59602152  0.49002268 -0.1115582 ]
24.png,[ 0.07566832 -0.20597447  0.1964465  -0.02737427]
25.png,[ 0.25057363 -0.59602152  0.49002268 -0.1115582 ]
26.png,[ 0.070649   -0.19662457  0.19178772 -0.02737222]
27.png,[ 0.070649   -0.19662457  0.19178772 -0.02737222]
28.png,[ 0.070649   -0.19662457  0.19178772 -0.02737222]
29.png,[ 0.070649   -0.19662457  0.19178772 -0.02737222]
30.png,[ 0.070649   -0.19662457  0.19178772 -0.02737222]
31.png,[ 0.070649   -0.19662457  0.19178772 -0.02737222]
32.png,[ 0.25057363 -0.59602152  0.49002268 -0.1115582 ]
33.png,[ 0.07566832 -0.20597447  0.1964465  -0.02737427]
34.png,[ 0.07566832 -0.20597447  0.1964465  -0.02737427]
35.png,[ 0.070649   -0.19662457  0.19178772 -0.02737222]
36.png,[ 0.070649   -0.19662457  0.19178772 -0.02737222]
37.png,[ 0.07566832 -0.20597447  0.1964465  -0.02737427]
38.png,[ 0.070649   -0.19662457  0.19178772 -0.02737222]
39.png,[ 0.07566832 -0.20597447  0.1964465  -0.02737427]
40.png,[ 0.070649   -0.19662457  0.19178772 -0.02737222]
41.png,[ 0.23872266 -0.48385971  0.32961091 -0.04500095]
42.png,[ 0.16397301 -0.38368517  0.29082268 -0.04154351]
43.png,[ 0.17162351 -0.39743425  0.29746166 -0.04223028]
44.png,[ 0.09759025 -0.25581831  0.20643343 -0.02657262]
45.png,[ 0.21562867 -0.4785179   0.32017513 -0.04256009]
46.png,[ 0.17523413 -0.41059184  0.28522462 -0.03726483]
47.png,[ 0.17632574 -0.44107594  0.31250876 -0.04260279]
48.png,[ 0.14918675 -0.39601683  0.28987525 -0.03889827]
49.png,[ 0.28837252 -0.61315854  0.37060228 -0.04576825]
50.png,[ 0.39813835 -0.80370679  0.46339346 -0.05861885]
51.png,[ 0.34086266 -0.7297725   0.43574369 -0.05643997]
52.png,[ 0.29520091 -0.5922257   0.3151478  -0.03400263]
53.png,[ 0.35365356 -0.67652404  0.33247654 -0.03354011]
54.png,[ 1.64768266e-01 -2.78689176e-01  6.26607290e-02 -1.41273863e-04]
55.png,[ 0.15164147 -0.27839665  0.07458239 -0.02726294]
56.png,[ 0.12406771 -0.26537337  0.08846299 -0.03894287]
57.png,[ 0.04968096 -0.06257556 -0.07955369 -0.00854541]
58.png,[ 0.08018476 -0.1371649  -0.01256829 -0.04202832]
59.png,[ 0.16317757 -0.31108935  0.081584   -0.05783179]
60.png,[ 0.2957227  -0.62989848  0.33509321 -0.13345703]
61.png,[ 0.37717449 -0.75231322  0.37075613 -0.13518559]
62.png,[ 0.27434647 -0.54715699  0.23625719 -0.11654094]
63.png,[ 0.17794596 -0.3695912   0.14326553 -0.11334481]
64.png,[ 0.16524073 -0.35241794  0.13098535 -0.11157625]
65.png,[ 0.22537362 -0.45481181  0.17571123 -0.11747616]
66.png,[ 0.22975179 -0.46548384  0.17364386 -0.11647658]
67.png,[ 0.14174946 -0.27449375  0.04379421 -0.09554099]
68.png,[ 0.11292354 -0.23634084  0.0272916  -0.09336214]
69.png,[ 0.31944531 -0.67287985  0.31431388 -0.15409653]
70.png,[ 0.19887257 -0.40902842  0.11901167 -0.1081826 ]
71.png,[ 0.24018068 -0.53165348  0.23323411 -0.14703828]
72.png,[ 0.13613513 -0.34059803  0.12418128 -0.13112087]
73.png,[ 0.10406142 -0.29852376  0.10756947 -0.13004693]
74.png,[ 0.22166483 -0.51612548  0.22201153 -0.14696229]
75.png,[ 0.16831464 -0.4148235   0.15478129 -0.13470284]
76.png,[ 0.21394675 -0.51082717  0.21002691 -0.14451682]
