Image Filename,Coefficients
1.png,[ 0.37130724 -0.31412811 -0.17846753 -0.15690954]
2.png,[ 0.34873204 -0.2665115  -0.21731967 -0.14210349]
3.png,[ 0.36263794 -0.28557957 -0.21138507 -0.14187928]
4.png,[ 0.37814717 -0.32285266 -0.17741639 -0.1559773 ]
5.png,[ 0.37685647 -0.31535666 -0.19201265 -0.14561631]
6.png,[ 0.35434497 -0.28496857 -0.19374287 -0.15482741]
7.png,[ 0.34281307 -0.26469856 -0.20402614 -0.15337634]
8.png,[ 0.35498955 -0.29046727 -0.18665855 -0.15705638]
9.png,[ 0.33329843 -0.23621397 -0.23593766 -0.13842811]
10.png,[ 0.34281307 -0.26469856 -0.20402614 -0.15337634]
11.png,[ 0.33737222 -0.24652001 -0.22747666 -0.14066784]
12.png,[ 0.34901839 -0.27127069 -0.2107033  -0.14424838]
13.png,[ 0.34344308 -0.25568485 -0.22502633 -0.1399254 ]
14.png,[ 0.35995013 -0.29216228 -0.19904976 -0.14584126]
15.png,[ 0.36529831 -0.31019255 -0.17565437 -0.15855224]
16.png,[ 0.35887684 -0.28598267 -0.20640817 -0.1436008 ]
17.png,[ 0.35312165 -0.28442352 -0.19302217 -0.15487216]
18.png,[ 0.34281307 -0.26469856 -0.20402614 -0.15337634]
19.png,[ 0.34281307 -0.26469856 -0.20402614 -0.15337634]
20.png,[ 0.3725302  -0.31467248 -0.17918863 -0.15686471]
21.png,[ 0.35887684 -0.28598267 -0.20640817 -0.1436008 ]
22.png,[ 0.34901839 -0.27127069 -0.2107033  -0.14424838]
23.png,[ 0.3557028  -0.29173467 -0.18601659 -0.15713178]
24.png,[ 0.34873204 -0.2665115  -0.21731967 -0.14210349]
25.png,[ 0.34873204 -0.2665115  -0.21731967 -0.14210349]
26.png,[ 0.36292454 -0.29033923 -0.20476842 -0.14402422]
27.png,[ 0.35312165 -0.28442352 -0.19302217 -0.15487216]
28.png,[ 0.36099845 -0.29440275 -0.18947174 -0.15541367]
29.png,[ 0.34281307 -0.26469856 -0.20402614 -0.15337634]
30.png,[ 0.35434497 -0.28496857 -0.19374287 -0.15482741]
31.png,[ 0.35312165 -0.28442352 -0.19302217 -0.15487216]
32.png,[ 0.35480312 -0.27567676 -0.21486908 -0.14136109]
33.png,[ 0.35312165 -0.28442352 -0.19302217 -0.15487216]
34.png,[ 0.35434497 -0.28496857 -0.19374287 -0.15482741]
35.png,[ 0.36723458 -0.31200445 -0.17573346 -0.15858282]
36.png,[ 0.37814717 -0.32285266 -0.17741639 -0.1559773 ]
37.png,[ 0.36292454 -0.29033923 -0.20476842 -0.14402422]
38.png,[ 0.36723458 -0.31200445 -0.17573346 -0.15858282]
39.png,[ 0.38971998 -0.35749876 -0.14736151 -0.16375875]
40.png,[ 0.35887684 -0.28598267 -0.20640817 -0.1436008 ]
41.png,[ 0.36142295 -0.2850593  -0.21063054 -0.14194095]
42.png,[ 0.35498955 -0.29046727 -0.18665855 -0.15705638]
43.png,[ 0.36116533 -0.29268295 -0.19980405 -0.14577962]
44.png,[ 0.34873204 -0.2665115  -0.21731967 -0.14210349]
45.png,[ 0.36465353 -0.30469349 -0.18273893 -0.15632323]
46.png,[ 0.34612456 -0.2690176  -0.20360448 -0.15270421]
47.png,[ 0.35434497 -0.28496857 -0.19374287 -0.15482741]
48.png,[ 0.34873204 -0.2665115  -0.21731967 -0.14210349]
49.png,[ 0.36723458 -0.31200445 -0.17573346 -0.15858282]
50.png,[ 0.3828391  -0.33439805 -0.1681843  -0.1583606 ]
51.png,[ 0.34002985 -0.27804006 -0.1874386  -0.15738758]
52.png,[ 0.37131001 -0.31215389 -0.18889269 -0.14727691]
53.png,[ 0.36652143 -0.31073724 -0.17637529 -0.15850745]
54.png,[ 0.35434497 -0.28496857 -0.19374287 -0.15482741]
55.png,[ 0.35434497 -0.28496857 -0.19374287 -0.15482741]
56.png,[ 0.37130724 -0.31412811 -0.17846753 -0.15690954]
57.png,[ 0.34873204 -0.2665115  -0.21731967 -0.14210349]
58.png,[ 0.28345804 -0.16504649 -0.26491333 -0.1362121 ]
59.png,[ 0.32620168 -0.23882601 -0.22421226 -0.14094237]
60.png,[ 0.35914627 -0.34523431 -0.12955393 -0.1648943 ]
61.png,[ 1.54497272 -2.97455239  1.78438325 -0.65792962]
62.png,[ 0.352024   -0.36076624 -0.10787415 -0.16360656]
63.png,[ 0.27527084 -0.22550397 -0.16962782 -0.15634643]
64.png,[ 0.28486625 -0.24767464 -0.16229415 -0.14817255]
65.png,[ 0.30293285 -0.2921002  -0.12684126 -0.15853288]
66.png,[ 0.30122181 -0.32138618 -0.09033007 -0.16530126]
67.png,[ 0.26574086 -0.25839244 -0.1279755  -0.15293451]
68.png,[ 0.20332332 -0.16728304 -0.16124064 -0.14932541]
69.png,[ 0.12100658 -0.01323935 -0.24593482 -0.13517558]
70.png,[ 0.1262295  -0.03520428 -0.22252309 -0.14031806]
71.png,[ 0.10935601  0.00095725 -0.23912571 -0.14334969]
72.png,[ 0.10553872 -0.01247367 -0.21455178 -0.14940428]
73.png,[ 0.19051534 -0.17801743 -0.12396609 -0.15754235]
74.png,[ 0.10695101 -0.01161642 -0.22904892 -0.13320596]
75.png,[ 0.12653533 -0.064612   -0.18740391 -0.14044334]
76.png,[ 0.11433581 -0.04486569 -0.19964719 -0.13190015]
77.png,[ 0.1184332  -0.07654818 -0.1618337  -0.14469552]
78.png,[ 0.10685264 -0.0684603  -0.15751528 -0.14571922]
79.png,[ 0.10451648 -0.0581266  -0.1685543  -0.14118308]
80.png,[ 0.1504806  -0.14248925 -0.12609279 -0.1413948 ]
81.png,[ 0.15381929 -0.15404713 -0.11497816 -0.14323903]
82.png,[ 0.12180425 -0.12217282 -0.11044721 -0.1505264 ]
83.png,[ 0.22889012 -0.32803745 -0.00533128 -0.15378811]
84.png,[ 0.02196078  0.07484502 -0.24631769 -0.11285637]
85.png,[ 0.04433088  0.00745991 -0.1956922  -0.12070407]
86.png,[ 0.19134494 -0.30854156  0.01510875 -0.1640092 ]
87.png,[ 0.0127862   0.05752394 -0.22963278 -0.10837149]
88.png,[ 0.04902079 -0.02881933 -0.16783224 -0.12532895]
89.png,[ 1.16300257 -2.5109009   1.67725546 -0.62803109]
90.png,[ 0.05601382 -0.05281221 -0.15413985 -0.12714519]
91.png,[ 0.04357081 -0.03636045 -0.16171868 -0.12564404]
92.png,[ 0.00690632  0.02654575 -0.19812582 -0.12107908]
93.png,[-0.02272424  0.06841715 -0.21513544 -0.11873895]
94.png,[-0.04605061  0.10074456 -0.2295564  -0.1167843 ]
95.png,[ 0.0034145   0.01312638 -0.18962659 -0.12208832]
96.png,[-0.02140305  0.05583466 -0.21610094 -0.11709224]
97.png,[ 0.01743505 -0.01215389 -0.18647025 -0.12113791]
98.png,[-0.00400779  0.0081432  -0.19289916 -0.12050127]
99.png,[-0.03892359  0.0703001  -0.23575326 -0.10594567]
100.png,[ 0.03010745 -0.06650365 -0.1541402  -0.12509673]
101.png,[-0.0708828   0.11437967 -0.2496637  -0.11618301]
102.png,[ 1.21747543 -2.72923451  1.83331236 -0.66706195]
103.png,[ 0.11178264 -0.26179048 -0.01954909 -0.16270947]
104.png,[ 0.14604279 -0.29892031 -0.02682064 -0.16144468]
105.png,[ 0.0870346  -0.17407165 -0.11939662 -0.14070149]
106.png,[ 1.25130048 -2.7728013   1.8077299  -0.66170325]
107.png,[ 0.08632976 -0.1731738  -0.13769555 -0.14188803]
108.png,[ 0.15700777 -0.34901708 -0.00881362 -0.17093072]
109.png,[ 0.19973822 -0.43733537  0.03843084 -0.17736118]
110.png,[ 0.22749135 -0.50718726  0.0796102  -0.18427869]
111.png,[ 0.19671101 -0.44840769  0.04510007 -0.1827111 ]
112.png,[ 0.11588096 -0.29809305 -0.04390373 -0.16768104]
113.png,[ 0.03958676 -0.14108806 -0.15859381 -0.14119685]
114.png,[ 0.09792164 -0.29048547 -0.0531797  -0.15981698]
