Image Filename,Coefficients
1.png,[ 0.15684826 -0.2861272   0.19021112 -0.02058556]
2.png,[ 0.16852354 -0.31060939  0.20651449 -0.02398401]
3.png,[ 0.18545882 -0.3414727   0.22237505 -0.02570721]
4.png,[ 0.18545882 -0.3414727   0.22237505 -0.02570721]
5.png,[ 0.17378353 -0.3169905   0.20607168 -0.02230876]
6.png,[ 0.18545882 -0.3414727   0.22237505 -0.02570721]
7.png,[ 0.16852354 -0.31060939  0.20651449 -0.02398401]
8.png,[ 0.15684826 -0.2861272   0.19021112 -0.02058556]
9.png,[ 0.17378353 -0.3169905   0.20607168 -0.02230876]
10.png,[ 0.17378353 -0.3169905   0.20607168 -0.02230876]
11.png,[ 0.18545882 -0.3414727   0.22237505 -0.02570721]
12.png,[ 0.16852354 -0.31060939  0.20651449 -0.02398401]
13.png,[ 0.15090772 -0.28061137  0.19037277 -0.02070924]
14.png,[ 0.12340412 -0.22756675  0.15968198 -0.01586131]
15.png,[ 0.15684826 -0.2861272   0.19021112 -0.02058556]
16.png,[ 0.16852354 -0.31060939  0.20651449 -0.02398401]
17.png,[ 0.16852354 -0.31060939  0.20651449 -0.02398401]
18.png,[ 0.17378353 -0.3169905   0.20607168 -0.02230876]
19.png,[ 0.15684826 -0.2861272   0.19021112 -0.02058556]
20.png,[ 0.16752453 -0.33738672  0.23145983 -0.0283735 ]
21.png,[ 0.16852354 -0.31060939  0.20651449 -0.02398401]
22.png,[ 0.15684826 -0.2861272   0.19021112 -0.02058556]
23.png,[ 0.16852354 -0.31060939  0.20651449 -0.02398401]
24.png,[ 0.18545882 -0.3414727   0.22237505 -0.02570721]
25.png,[ 0.17378353 -0.3169905   0.20607168 -0.02230876]
26.png,[ 0.15684826 -0.2861272   0.19021112 -0.02058556]
27.png,[ 0.18545882 -0.3414727   0.22237505 -0.02570721]
28.png,[ 0.16852354 -0.31060939  0.20651449 -0.02398401]
29.png,[ 0.17378353 -0.3169905   0.20607168 -0.02230876]
30.png,[ 0.18545882 -0.3414727   0.22237505 -0.02570721]
31.png,[ 0.18545882 -0.3414727   0.22237505 -0.02570721]
32.png,[ 0.18545882 -0.3414727   0.22237505 -0.02570721]
33.png,[ 0.18545882 -0.3414727   0.22237505 -0.02570721]
34.png,[ 0.18545882 -0.3414727   0.22237505 -0.02570721]
35.png,[ 0.17462933 -0.32076702  0.21042141 -0.02376966]
36.png,[ 0.17378353 -0.3169905   0.20607168 -0.02230876]
37.png,[ 0.17378353 -0.3169905   0.20607168 -0.02230876]
38.png,[ 0.18545882 -0.3414727   0.22237505 -0.02570721]
39.png,[ 0.18644264 -0.34226837  0.22163416 -0.02482996]
40.png,[ 0.18545882 -0.3414727   0.22237505 -0.02570721]
41.png,[ 0.17378353 -0.3169905   0.20607168 -0.02230876]
42.png,[ 0.16852354 -0.31060939  0.20651449 -0.02398401]
43.png,[ 0.17378353 -0.3169905   0.20607168 -0.02230876]
44.png,[ 0.17378353 -0.3169905   0.20607168 -0.02230876]
45.png,[ 0.15684826 -0.2861272   0.19021112 -0.02058556]
46.png,[ 0.17378353 -0.3169905   0.20607168 -0.02230876]
47.png,[ 0.17378353 -0.3169905   0.20607168 -0.02230876]
48.png,[ 0.16852354 -0.31060939  0.20651449 -0.02398401]
49.png,[ 0.16852354 -0.31060939  0.20651449 -0.02398401]
50.png,[ 0.17378353 -0.3169905   0.20607168 -0.02230876]
51.png,[ 0.16852354 -0.31060939  0.20651449 -0.02398401]
52.png,[ 0.15684826 -0.2861272   0.19021112 -0.02058556]
53.png,[ 0.18545882 -0.3414727   0.22237505 -0.02570721]
54.png,[ 0.13891397 -0.28204123  0.19929592 -0.02325184]
55.png,[ 0.11796418 -0.2538175   0.18981303 -0.02301717]
56.png,[ 0.12298088 -0.2609613   0.19226252 -0.02318269]
57.png,[ 0.12728798 -0.27082869  0.19880548 -0.0243427 ]
58.png,[ 0.09767841 -0.24226052  0.1915869  -0.02361053]
59.png,[ 0.24186151 -0.48977391  0.31206615 -0.0401622 ]
60.png,[ 0.19756126 -0.41258601  0.26997665 -0.03313063]
61.png,[ 0.20588601 -0.45637445  0.30391441 -0.03884564]
62.png,[ 0.1644613  -0.37717145  0.24921    -0.02945733]
63.png,[ 0.29623362 -0.59958169  0.35550041 -0.04399695]
64.png,[ 0.27401815 -0.58897291  0.3600212  -0.04511131]
65.png,[ 0.26415482 -0.57252737  0.35096457 -0.04372517]
66.png,[ 0.23904167 -0.52879614  0.32692412 -0.03940527]
67.png,[ 0.17406291 -0.37702628  0.2220352  -0.02348531]
68.png,[ 0.17506399 -0.40293776  0.2451377  -0.02799205]
69.png,[ 0.16106133 -0.38946518  0.24396749 -0.02850148]
70.png,[ 0.12732123 -0.35431876  0.23604341 -0.029131  ]
71.png,[ 0.25170979 -0.56348017  0.33182175 -0.04037995]
72.png,[ 0.17589375 -0.39702242  0.21916525 -0.02044425]
73.png,[ 0.18442787 -0.43448995  0.25120876 -0.02783133]
74.png,[ 0.11996424 -0.35322543  0.22220526 -0.02556753]
75.png,[ 0.23348482 -0.54174225  0.30510323 -0.03454826]
76.png,[ 0.21209565 -0.51761815  0.29861473 -0.03435964]
77.png,[ 0.18929282 -0.4927423   0.29471728 -0.03549983]
78.png,[ 0.21285809 -0.53797547  0.31739825 -0.0386076 ]
79.png,[ 0.03314363 -0.19822023  0.12390954 -0.01804875]
80.png,[-0.05685097  0.00550425 -0.02399292  0.00649206]
81.png,[ 0.03711565 -0.17429125  0.06856266 -0.00685179]
82.png,[ 0.03261329 -0.16404021  0.06300022 -0.00607963]
83.png,[ 0.01526488 -0.13548067  0.04630079 -0.00275999]
84.png,[-0.01282535 -0.0895564   0.02475356 -0.00056582]
85.png,[-0.03067415 -0.07068935  0.02089883 -0.0005658 ]
86.png,[-3.77434322e-02 -6.23190203e-02  1.78692222e-02  1.45322409e-05]
87.png,[-0.03385405 -0.08053778  0.0325252  -0.0023002 ]
88.png,[-0.06332026 -0.0283391   0.0029809   0.00312274]
89.png,[-0.10706339  0.03924405 -0.03061903  0.00769554]
90.png,[-0.10489683  0.02813406 -0.02391138  0.0080549 ]
91.png,[-0.11956392  0.04541045 -0.0280732   0.0079624 ]
92.png,[ 0.08490735 -0.33142301  0.16683425 -0.01151816]
93.png,[ 0.02350233 -0.23760867  0.12289331 -0.00560935]
94.png,[ 0.00234039 -0.25183045  0.16611213 -0.01649154]
95.png,[-0.03944547 -0.18494662  0.13415643 -0.01147777]
96.png,[-0.23247225  0.20572807 -0.11437023  0.03797472]
97.png,[-0.26457284  0.25518007 -0.13742226  0.04130047]
98.png,[-0.28458997  0.2829039  -0.14817102  0.04263099]
99.png,[-0.27574746  0.25770631 -0.13155205  0.03991778]
100.png,[-0.30433044  0.30881326 -0.15793937  0.04371154]
101.png,[-0.13549196 -0.02762484  0.03587192  0.01605454]
102.png,[-0.27020391  0.27616662 -0.18341873  0.06681783]
103.png,[-0.20845406  0.14199025 -0.10496787  0.06054432]
104.png,[-0.21288841  0.14803058 -0.10679661  0.06061411]
105.png,[-0.21397412  0.14991063 -0.10839689  0.06197532]
106.png,[-0.30593973  0.30812396 -0.18790289  0.07451128]
107.png,[-0.32518512  0.34706472 -0.20895434  0.07766363]
108.png,[-0.18325156  0.06165108 -0.03710829  0.05102003]
109.png,[-0.21071314  0.11681033 -0.07354411  0.05916044]
110.png,[-0.2047398   0.07183297 -0.02576033  0.04900419]
111.png,[-0.230407    0.11449663 -0.04300928  0.05001429]
112.png,[-0.20890179  0.08529063 -0.03195675  0.05006002]
113.png,[-0.23172375  0.11573491 -0.03978543  0.04954195]
114.png,[-0.26317571  0.17869423 -0.072639    0.05429011]
115.png,[-0.27513229  0.19696045 -0.0873001   0.05848259]
116.png,[-0.36806029  0.35855117 -0.16267236  0.06733597]
117.png,[-0.25111184  0.11393061 -0.01569329  0.04680888]
118.png,[-0.30174659  0.27758581 -0.17934936  0.09822136]
119.png,[-0.28575532  0.20139737 -0.10928217  0.08328421]
120.png,[-0.3060903   0.2399667  -0.12960324  0.08600263]
121.png,[-0.34241985  0.30180759 -0.1666102   0.094122  ]
122.png,[-0.32206561  0.2763598  -0.15073257  0.09096742]
123.png,[-0.32919911  0.28473845 -0.15926187  0.09382457]
124.png,[-0.32837061  0.26663871 -0.14589998  0.09139131]
125.png,[-0.28662642  0.19225762 -0.10846102  0.08621025]
126.png,[-0.29953234  0.21581249 -0.11872527  0.08755236]
127.png,[-0.33184635  0.26837926 -0.14438079  0.09113011]
128.png,[-0.33613033  0.27818154 -0.15387743  0.09420913]
129.png,[-0.3245636   0.24353268 -0.12784067  0.08839544]
130.png,[-0.15575615 -0.1390283   0.16357593  0.00396847]
131.png,[-0.3365516   0.25724703 -0.13615983  0.09097758]
132.png,[-0.34031327  0.2526589  -0.12679078  0.08773479]
133.png,[-0.1939425  -0.06100844  0.10405004  0.01651053]
134.png,[-0.31803952  0.24391329 -0.14766402  0.09554757]
135.png,[-0.30419052  0.2131677  -0.13004325  0.09286668]
136.png,[-0.33473998  0.246889   -0.14065619  0.09373104]
137.png,[-0.45995512  0.50149828 -0.29502814  0.11613837]
138.png,[-0.4426537   0.45302579 -0.26224072  0.10959077]
139.png,[-0.44509445  0.44989774 -0.26093398  0.11059307]
140.png,[-0.45348334  0.45085038 -0.25657372  0.10851295]
141.png,[-0.35936799  0.31146878 -0.21020731  0.1065828 ]
142.png,[-0.21691341 -0.04096507  0.07349358  0.02113922]
143.png,[-0.41726416  0.39328624 -0.24285981  0.10946721]
144.png,[-0.44542838  0.43581426 -0.25670371  0.10520805]
145.png,[-0.3768702   0.27298488 -0.1102174   0.04196834]
146.png,[-0.5658232   0.67184895 -0.40531497  0.12668203]
147.png,[-0.4985073   0.58748554 -0.3940893   0.12987565]
148.png,[-0.35360683  0.24426916 -0.14152375  0.07084821]
149.png,[-0.36237141  0.25241259 -0.15158769  0.07460297]
150.png,[-0.32567891  0.17705129 -0.10612775  0.06614114]
151.png,[-0.22366326  0.03256829 -0.06214769  0.06529014]
152.png,[-0.41461146  0.37563402 -0.24713431  0.08927405]
153.png,[-0.43330697  0.39908637 -0.25979239  0.09125322]
154.png,[-0.33091894  0.23508173 -0.19126571  0.08375094]
155.png,[-0.46442981  0.4515758  -0.28797882  0.08917264]
156.png,[-0.40575293  0.34642213 -0.23558854  0.08246785]
157.png,[-0.52862261  0.60429848 -0.3988894   0.10820638]
158.png,[-0.5505696   0.63263059 -0.413142    0.10991806]
159.png,[-0.48910061  0.51225608 -0.34994336  0.10044042]
160.png,[-0.48926786  0.53124859 -0.37422949  0.10627733]
161.png,[-0.45148795  0.43928344 -0.31595879  0.09468338]
162.png,[-0.5722863   0.67588095 -0.45626317  0.11612653]
163.png,[-0.65605583  0.81556366 -0.52296179  0.11866728]
164.png,[-0.59185849  0.69925829 -0.46893823  0.11160681]
165.png,[-0.6151952   0.74640171 -0.49463907  0.11576076]
166.png,[-0.55199465  0.6194203  -0.43227564  0.10710899]
167.png,[-0.5583905   0.60971806 -0.3921482   0.08310672]
168.png,[-0.51589189  0.52307634 -0.34577033  0.07550572]
169.png,[-0.64513129  0.72716987 -0.4359139   0.08041521]
170.png,[-0.52611922  0.53351025 -0.35441081  0.071468  ]
171.png,[-0.68154334  0.82286561 -0.52035594  0.09499758]
172.png,[-0.63025     0.74083566 -0.48751243  0.09229683]
173.png,[-0.64097163  0.75853393 -0.50281495  0.0951829 ]
174.png,[-0.62754366  0.72806489 -0.491384    0.09397963]
175.png,[-0.77698312  1.03320102 -0.66527357  0.1142678 ]
176.png,[-0.60199193  0.62360082 -0.38609207  0.05551113]
177.png,[-0.60256751  0.63627885 -0.40185176  0.05919644]
178.png,[-0.5862563   0.59507893 -0.37929005  0.05605849]
179.png,[-0.51587644  0.44345973 -0.26163444  0.02102394]
180.png,[-0.61060063  0.67301814 -0.44881422  0.06843969]
181.png,[-0.61053281  0.68958581 -0.46269665  0.07143603]
182.png,[-0.50382416  0.43883075 -0.27129909  0.02428229]
183.png,[-0.4931366   0.41923453 -0.26087123  0.02273345]
184.png,[-0.58976736  0.65134148 -0.4422574   0.06838732]
185.png,[-0.52434549  0.45898161 -0.27965168  0.02514903]
186.png,[-0.51393103  0.43987294 -0.26947581  0.02363648]
187.png,[-0.52259215  0.45156982 -0.2740841   0.02413435]
188.png,[-0.51393103  0.43987294 -0.26947581  0.02363648]
189.png,[-0.52259215  0.45156982 -0.2740841   0.02413435]
190.png,[-0.52259215  0.45156982 -0.2740841   0.02413435]
191.png,[-0.52259215  0.45156982 -0.2740841   0.02413435]
192.png,[-0.49993524  0.41272122 -0.2550226   0.02154895]
193.png,[-0.51836546  0.44595348 -0.27267942  0.02409392]
194.png,[-0.55313063  0.50518909 -0.30229382  0.02816132]
195.png,[-0.53298015  0.46671222 -0.28079425  0.02499676]
196.png,[-0.53294304  0.47190841 -0.28584259  0.02583897]
197.png,[-0.64164279  0.72045044 -0.47321703  0.07208743]
198.png,[-0.55313063  0.50518909 -0.30229382  0.02816132]
199.png,[-0.5315281   0.46579161 -0.28134275  0.02523571]
200.png,[-0.53298015  0.46671222 -0.28079425  0.02499676]
201.png,[-0.52178179  0.44774369 -0.27164759  0.02378244]
202.png,[-0.51967974  0.44524924 -0.2710969   0.02381798]
203.png,[-0.52062402  0.44811935 -0.27344482  0.02410816]
204.png,[-0.55313063  0.50518909 -0.30229382  0.02816132]
205.png,[-0.4892994   0.39550597 -0.2473532   0.02045322]
206.png,[-0.51580096  0.43952988 -0.26900407  0.02346796]
207.png,[-0.54822423  0.49715823 -0.29876461  0.0278609 ]
208.png,[-0.52062402  0.44811935 -0.27344482  0.02410816]
209.png,[-0.56874042  0.52383801 -0.30863716  0.02871446]
210.png,[-0.61417278  0.6730342  -0.44971868  0.06886048]
211.png,[-0.50804275  0.42507261 -0.26103569  0.02242604]
212.png,[-0.52062402  0.44811935 -0.27344482  0.02410816]
213.png,[-0.50394877  0.42014575 -0.26029348  0.02252933]
214.png,[-0.51210104  0.4378291  -0.27143075  0.02426137]
215.png,[-0.51580096  0.43952988 -0.26900407  0.02346796]
216.png,[-0.50898697  0.42794258 -0.26338352  0.0227162 ]
