Image Filename,Coefficients
1.png,[-0.3131429   0.04873948  0.49285243  0.21739584]
2.png,[-0.31804243  0.06665122  0.47480131  0.2225393 ]
3.png,[-0.1460478  -0.31230698  0.74769668  0.15352634]
4.png,[-0.33497475  0.1000023   0.4536828   0.22699219]
5.png,[-0.30476998  0.02712478  0.51972374  0.20059465]
6.png,[-0.34205945  0.11312863  0.44564616  0.22841645]
7.png,[-0.31380636  0.04937274  0.50280237  0.20430902]
8.png,[-0.35767005  0.1454015   0.42582899  0.23202891]
9.png,[-0.31949308  0.06722432  0.47576847  0.22241402]
10.png,[-0.32829966  0.07707067  0.48671207  0.20717738]
11.png,[-0.34050978  0.11159899  0.44695293  0.22767815]
12.png,[-0.32709632  0.09060358  0.45517482  0.22733397]
13.png,[-0.33847512  0.10469762  0.45205606  0.22736566]
14.png,[-0.39140699  0.22092518  0.38097927  0.23707193]
15.png,[-0.33700736  0.10408783  0.45111407  0.22748547]
16.png,[-0.32597648  0.08641898  0.4586941   0.22681037]
17.png,[-0.32697571  0.08990618  0.45514415  0.22743337]
18.png,[-0.40304357  0.23331955  0.38286165  0.23417531]
19.png,[-0.14177065 -0.31470236  0.7434052   0.15579035]
20.png,[-0.3851722   0.19229444  0.42146498  0.21548094]
21.png,[-0.33497126  0.10285785  0.4500564   0.22788401]
22.png,[-0.32371999  0.07569078  0.47149295  0.22237797]
23.png,[-0.32901266  0.07292111  0.49305885  0.20533885]
24.png,[-0.30476998  0.02712478  0.51972374  0.20059465]
25.png,[-0.33497126  0.10285785  0.4500564   0.22788401]
26.png,[-0.32901266  0.07292111  0.49305885  0.20533885]
27.png,[-0.40363052  0.23865037  0.37462872  0.23756382]
28.png,[-0.32638158  0.08366593  0.46258527  0.22590124]
29.png,[-0.35260336  0.13263078  0.43642367  0.22914259]
30.png,[-0.19956858 -0.18759204  0.65759907  0.17329126]
31.png,[-0.21354948 -0.16504023  0.64842026  0.17371127]
32.png,[-0.32597648  0.08641898  0.4586941   0.22681037]
33.png,[-0.20588079 -0.18717059  0.67502174  0.16257512]
34.png,[-0.31711951  0.05419985  0.50064979  0.20487301]
35.png,[-0.34706428  0.12388857  0.43952777  0.22934833]
36.png,[-0.13733387 -0.32603417  0.75417974  0.15222797]
37.png,[-0.29435784  0.0070561   0.5310407   0.19902057]
38.png,[-0.31273089  0.04338642  0.50798248  0.20386242]
39.png,[-0.32512406  0.07690772  0.47040105  0.22306953]
40.png,[-0.33293762  0.09877035  0.45262628  0.22739052]
41.png,[-0.30104326  0.01963482  0.52443203  0.19969089]
42.png,[-0.33646425  0.10444317  0.44986632  0.22781388]
43.png,[-0.34759831  0.12187042  0.44254231  0.22821066]
44.png,[-0.40363052  0.23865037  0.37462872  0.23756382]
45.png,[-0.37530423  0.18020693  0.41219229  0.23032825]
46.png,[-0.31273005  0.0552365   0.48265668  0.2208203 ]
47.png,[-0.16483554 -0.27270928  0.72118998  0.15885072]
48.png,[-0.34200267  0.09472323  0.4822038   0.20676037]
49.png,[-0.37209919  0.17686975  0.41225251  0.23056262]
50.png,[-0.30930952  0.03108179  0.52140008  0.19928575]
51.png,[-0.14462026 -0.3128423   0.74672693  0.15364   ]
52.png,[-0.14275488 -0.31373301  0.74547284  0.15406621]
53.png,[-0.15495639 -0.29256435  0.73491533  0.15552549]
54.png,[-0.15927692 -0.27857897  0.72160682  0.1591758 ]
55.png,[-0.32901266  0.07292111  0.49305885  0.20533885]
56.png,[-0.31520689  0.05666349  0.48390855  0.22041987]
57.png,[-0.31666308  0.04781952  0.50936101  0.20203412]
58.png,[-0.21354948 -0.16504023  0.64842026  0.17371127]
59.png,[-0.33008942  0.08758298  0.46434074  0.2239888 ]
60.png,[-0.32241465  0.06558804  0.49312565  0.2062936 ]
61.png,[-0.1610896  -0.27780092  0.72293786  0.15873299]
62.png,[-0.37653034  0.18506883  0.40762058  0.23109329]
63.png,[-0.16637428 -0.27235288  0.72391631  0.15748244]
64.png,[-0.16528274 -0.27050461  0.71878613  0.15977135]
65.png,[-0.31375479  0.05733724  0.48070146  0.22153926]
66.png,[-0.21430272 -0.14465347  0.61010622  0.19585436]
67.png,[-0.34910107  0.12511986  0.44058467  0.22894993]
68.png,[-0.34050978  0.11159899  0.44695293  0.22767815]
69.png,[-0.22304039 -0.15058135  0.65011281  0.16792746]
70.png,[-0.15927692 -0.27857897  0.72160682  0.1591758 ]
71.png,[-0.38456638  0.18796575  0.42624408  0.21430611]
72.png,[-0.29923909  0.03065808  0.49480766  0.21965724]
73.png,[-0.17153259 -0.25729464  0.7109704   0.16065209]
74.png,[-0.30104326  0.01963482  0.52443203  0.19969089]
75.png,[-0.31895596  0.04957634  0.5100909   0.20169255]
76.png,[-0.25519238 -0.06509     0.57042559  0.19851056]
77.png,[-0.34706428  0.12388857  0.43952777  0.22934833]
78.png,[-0.31822957  0.06041912  0.48448536  0.21918581]
79.png,[-0.33509891  0.08428548  0.48620891  0.20689659]
80.png,[-0.35790901  0.13581842  0.45794908  0.20840451]
81.png,[-0.33497126  0.10285785  0.4500564   0.22788401]
82.png,[-0.41321445  0.25543871  0.36518634  0.239082  ]
83.png,[-0.17153259 -0.25729464  0.7109704   0.16065209]
84.png,[-0.30325365  0.03396202  0.4960375   0.21912226]
85.png,[-0.33700736  0.10408783  0.45111407  0.22748547]
86.png,[-0.38085801  0.19364652  0.40301022  0.23172318]
87.png,[-0.3751253   0.1673139   0.44177134  0.21010619]
88.png,[-0.17909825 -0.23018501  0.68491049  0.16743329]
89.png,[-0.19182174 -0.20447233  0.66778007  0.17069883]
90.png,[-0.34576295  0.10573682  0.46635762  0.21767522]
91.png,[-0.27520677 -0.08780798  0.64447053  0.15905868]
92.png,[-0.35700434  0.06934515  0.55156525  0.17593946]
93.png,[-0.27699089 -0.10047398  0.668733    0.14932664]
94.png,[-0.29489763 -0.05033433  0.61825744  0.17149595]
95.png,[-0.29574221 -0.05809733  0.64461749  0.15119751]
96.png,[-0.34077749  0.03643122  0.57152546  0.17747187]
97.png,[-0.39350853  0.13844435  0.51617084  0.18454269]
98.png,[-0.30079377 -0.06483836  0.6563639   0.15016258]
99.png,[-0.25217139 -0.16346719  0.70248887  0.15709945]
100.png,[-0.33542924 -0.00737887  0.61993163  0.16880316]
101.png,[-0.38970527  0.11161626  0.52377949  0.199417  ]
102.png,[-0.30326742 -0.08778786  0.66526926  0.17005516]
103.png,[-0.4017706   0.08655396  0.56326571  0.19146744]
104.png,[-0.3346133  -0.05032396  0.66174846  0.16672575]
105.png,[-0.51322412  0.32788669  0.40639547  0.22106143]
106.png,[-0.41580177  0.11146411  0.55522381  0.19033499]
107.png,[-0.50510449  0.2955826   0.42411807  0.22325921]
108.png,[-0.49523401  0.27610894  0.43308462  0.22378192]
109.png,[-0.51686494  0.28922292  0.44520488  0.21754954]
110.png,[-0.49053564  0.27513636  0.42869293  0.22447053]
111.png,[-0.43797918  0.16371271  0.51376343  0.19497952]
112.png,[-0.42643857  0.14272574  0.50610899  0.2123237 ]
113.png,[-0.44454842  0.16577485  0.49458687  0.21366739]
114.png,[-0.46215654  0.18381888  0.50663272  0.19628893]
115.png,[-0.29868325 -0.16153783  0.72795853  0.15380593]
116.png,[-0.490156    0.22247389  0.47415864  0.21234434]
117.png,[-0.47063206  0.19825961  0.47759     0.21402669]
118.png,[-0.42510976  0.08421082  0.57620887  0.17943055]
119.png,[-0.37551317  0.01378246  0.58625116  0.19026052]
120.png,[-0.18548038 -0.35970108  0.80829733  0.15067538]
121.png,[-0.42211983  0.08842502  0.54343454  0.19734211]
122.png,[-0.28541437 -0.21452656  0.7658686   0.136076  ]
123.png,[-0.39368614  0.01631055  0.62331631  0.15182956]
124.png,[-0.35481091 -0.02541892  0.5971142   0.18581   ]
125.png,[-0.24990558 -0.256874    0.74845094  0.15562791]
126.png,[-0.24201889 -0.28047568  0.77936583  0.13503083]
127.png,[-0.21516048 -0.3335449   0.80443048  0.13180918]
128.png,[-0.19475679 -0.3581148   0.79509947  0.14695484]
129.png,[-0.2193532  -0.30483122  0.75769375  0.1533205 ]
130.png,[-0.01014226 -0.75223297  1.06063959  0.07992708]
131.png,[-0.21153485 -0.30746392  0.74006958  0.15801101]
132.png,[-0.21797652 -0.29221475  0.72669244  0.1608969 ]
133.png,[-0.10215873 -0.52128636  0.85050524  0.14316175]
134.png,[-0.13830542 -0.44705795  0.80203243  0.15137754]
135.png,[-0.13123345 -0.44471733  0.80524129  0.13708659]
136.png,[-0.11510882 -0.46550304  0.78976341  0.15387746]
137.png,[-0.14170682 -0.41240017  0.75479271  0.15979903]
138.png,[-0.11891322 -0.45681737  0.77661837  0.15671482]
139.png,[-0.16107822 -0.39425305  0.74814939  0.15879074]
140.png,[-0.05130156 -0.59479252  0.86245623  0.1310358 ]
141.png,[ 0.08011675 -0.85667167  1.03034328  0.09142406]
142.png,[-0.1459329  -0.40267039  0.72865758  0.16130064]
143.png,[-0.02069602 -0.62383964  0.85356431  0.13166125]
144.png,[-0.0822731  -0.52074087  0.78533346  0.15127146]
145.png,[-0.12747436 -0.44253315  0.74432697  0.15671951]
146.png,[-0.11975473 -0.42792719  0.71686324  0.16282057]
147.png,[-0.04912292 -0.56396683  0.78184126  0.15442225]
148.png,[-0.07082957 -0.52919397  0.77768472  0.14164738]
149.png,[-0.12028618 -0.42954148  0.69406122  0.16846139]
150.png,[-0.02338795 -0.60164569  0.79703788  0.14008305]
151.png,[-0.04318797 -0.55834965  0.74763625  0.15999118]
152.png,[-0.09343998 -0.4580856   0.68633291  0.17007078]
153.png,[-0.02703324 -0.57370926  0.75940795  0.14455649]
154.png,[-0.04417488 -0.55080574  0.72940557  0.16085303]
155.png,[-0.04278611 -0.55219628  0.73809915  0.15432855]
156.png,[-0.08054756 -0.49349398  0.72333253  0.14411703]
157.png,[ 0.09556553 -0.85583081  0.95722889  0.09487091]
158.png,[-0.08587814 -0.46790076  0.6865854   0.16286318]
159.png,[-0.08975767 -0.45888881  0.68171392  0.16271515]
160.png,[-0.04471592 -0.54497706  0.72372419  0.15961749]
161.png,[-0.06000896 -0.51871306  0.7125252   0.1596613 ]
162.png,[-0.05069985 -0.54959763  0.75117659  0.14057513]
163.png,[-0.04391962 -0.56352647  0.76004484  0.13890382]
164.png,[-0.05925164 -0.51769629  0.71032289  0.16021679]
165.png,[-0.05925164 -0.51769629  0.71032289  0.16021679]
166.png,[-0.05168622 -0.53083677  0.71642955  0.15979871]
