Image Filename,Coefficients
1.png,[ 0.09581547 -0.14355141  0.07753487 -0.01017689]
2.png,[ 0.09581547 -0.14355141  0.07753487 -0.01017689]
3.png,[ 0.11681741 -0.22261628  0.14791365 -0.02419316]
4.png,[ 0.12538873 -0.23822822  0.15592812 -0.0250608 ]
5.png,[ 0.09581547 -0.14355141  0.07753487 -0.01017689]
6.png,[ 0.11681741 -0.22261628  0.14791365 -0.02419316]
7.png,[ 0.11681741 -0.22261628  0.14791365 -0.02419316]
8.png,[ 0.09581547 -0.14355141  0.07753487 -0.01017689]
9.png,[ 0.10438687 -0.1591635   0.08554943 -0.01104455]
10.png,[ 0.09581547 -0.14355141  0.07753487 -0.01017689]
11.png,[ 0.09581547 -0.14355141  0.07753487 -0.01017689]
12.png,[ 0.09581547 -0.14355141  0.07753487 -0.01017689]
13.png,[ 0.12538873 -0.23822822  0.15592812 -0.0250608 ]
14.png,[ 0.10438687 -0.1591635   0.08554943 -0.01104455]
15.png,[ 0.09581547 -0.14355141  0.07753487 -0.01017689]
16.png,[ 0.11681741 -0.22261628  0.14791365 -0.02419316]
17.png,[ 0.11681741 -0.22261628  0.14791365 -0.02419316]
18.png,[ 0.12538873 -0.23822822  0.15592812 -0.0250608 ]
19.png,[ 0.10438687 -0.1591635   0.08554943 -0.01104455]
20.png,[ 0.11681741 -0.22261628  0.14791365 -0.02419316]
21.png,[ 0.10438687 -0.1591635   0.08554943 -0.01104455]
22.png,[ 0.10438687 -0.1591635   0.08554943 -0.01104455]
23.png,[ 0.11681741 -0.22261628  0.14791365 -0.02419316]
24.png,[ 0.11681741 -0.22261628  0.14791365 -0.02419316]
25.png,[ 0.10438687 -0.1591635   0.08554943 -0.01104455]
26.png,[ 0.09581547 -0.14355141  0.07753487 -0.01017689]
27.png,[ 0.12538873 -0.23822822  0.15592812 -0.0250608 ]
28.png,[ 0.09581547 -0.14355141  0.07753487 -0.01017689]
29.png,[ 0.09581547 -0.14355141  0.07753487 -0.01017689]
30.png,[ 0.09581547 -0.14355141  0.07753487 -0.01017689]
31.png,[ 0.09581547 -0.14355141  0.07753487 -0.01017689]
32.png,[ 0.09581547 -0.14355141  0.07753487 -0.01017689]
33.png,[ 0.12538873 -0.23822822  0.15592812 -0.0250608 ]
34.png,[ 0.12538873 -0.23822822  0.15592812 -0.0250608 ]
35.png,[ 0.09581547 -0.14355141  0.07753487 -0.01017689]
36.png,[ 0.09581547 -0.14355141  0.07753487 -0.01017689]
37.png,[ 0.09581547 -0.14355141  0.07753487 -0.01017689]
38.png,[ 0.10438687 -0.1591635   0.08554943 -0.01104455]
39.png,[ 0.11681741 -0.22261628  0.14791365 -0.02419316]
40.png,[ 0.11681741 -0.22261628  0.14791365 -0.02419316]
41.png,[ 0.10438687 -0.1591635   0.08554943 -0.01104455]
42.png,[ 0.10438687 -0.1591635   0.08554943 -0.01104455]
43.png,[ 0.07361068 -0.10922802  0.06106706 -0.00762894]
44.png,[ 0.16487043 -0.32413736  0.22042111 -0.05111265]
