Image Filename,Coefficients
1.png,[ 0.09473538 -0.19667011  0.17971131 -0.06694792]
2.png,[ 0.09473538 -0.19667011  0.17971131 -0.06694792]
3.png,[ 0.09473538 -0.19667011  0.17971131 -0.06694792]
4.png,[ 0.09473538 -0.19667011  0.17971131 -0.06694792]
5.png,[ 0.10330677 -0.21228216  0.18772585 -0.06781557]
6.png,[ 0.10707334 -0.2179524   0.19055107 -0.06868935]
7.png,[ 0.09473538 -0.19667011  0.17971131 -0.06694792]
8.png,[ 0.09473538 -0.19667011  0.17971131 -0.06694792]
9.png,[ 0.10330677 -0.21228216  0.18772585 -0.06781557]
10.png,[ 0.09473538 -0.19667011  0.17971131 -0.06694792]
11.png,[ 0.09473538 -0.19667011  0.17971131 -0.06694792]
12.png,[ 0.09473538 -0.19667011  0.17971131 -0.06694792]
13.png,[ 0.09473538 -0.19667011  0.17971131 -0.06694792]
14.png,[ 0.10330677 -0.21228216  0.18772585 -0.06781557]
15.png,[ 0.10330677 -0.21228216  0.18772585 -0.06781557]
16.png,[ 0.09473538 -0.19667011  0.17971131 -0.06694792]
17.png,[ 0.09473538 -0.19667011  0.17971131 -0.06694792]
18.png,[ 0.09473538 -0.19667011  0.17971131 -0.06694792]
19.png,[ 0.10330677 -0.21228216  0.18772585 -0.06781557]
20.png,[ 0.09473538 -0.19667011  0.17971131 -0.06694792]
21.png,[ 0.09473538 -0.19667011  0.17971131 -0.06694792]
22.png,[ 0.09473538 -0.19667011  0.17971131 -0.06694792]
23.png,[ 0.09473538 -0.19667011  0.17971131 -0.06694792]
24.png,[ 0.10330677 -0.21228216  0.18772585 -0.06781557]
25.png,[ 0.10330677 -0.21228216  0.18772585 -0.06781557]
26.png,[ 0.10330677 -0.21228216  0.18772585 -0.06781557]
27.png,[ 0.09473538 -0.19667011  0.17971131 -0.06694792]
28.png,[ 0.09473538 -0.19667011  0.17971131 -0.06694792]
29.png,[ 0.10330677 -0.21228216  0.18772585 -0.06781557]
30.png,[ 0.09473538 -0.19667011  0.17971131 -0.06694792]
31.png,[ 0.09473538 -0.19667011  0.17971131 -0.06694792]
32.png,[ 0.09473538 -0.19667011  0.17971131 -0.06694792]
33.png,[ 0.10330677 -0.21228216  0.18772585 -0.06781557]
34.png,[ 0.10330677 -0.21228216  0.18772585 -0.06781557]
35.png,[ 0.09473538 -0.19667011  0.17971131 -0.06694792]
36.png,[-0.07162829  0.14342906 -0.03913949 -0.02349029]
37.png,[ 0.09473538 -0.19667011  0.17971131 -0.06694792]
38.png,[ 0.09473538 -0.19667011  0.17971131 -0.06694792]
39.png,[ 0.10330677 -0.21228216  0.18772585 -0.06781557]
40.png,[ 0.10330677 -0.21228216  0.18772585 -0.06781557]
41.png,[ 0.09103855 -0.19117466  0.17699508 -0.06609392]
42.png,[ 0.10330677 -0.21228216  0.18772585 -0.06781557]
43.png,[ 0.09473538 -0.19667011  0.17971131 -0.06694792]
44.png,[ 0.10330677 -0.21228216  0.18772585 -0.06781557]
