Image Filename,Coefficients
1.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
2.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
3.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
4.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
5.png,[ 0.18291865 -0.33162082  0.21256942 -0.02263542]
6.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
7.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
8.png,[ 0.19442679 -0.35576921  0.22867249 -0.0260013 ]
9.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
10.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
11.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
12.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
13.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
14.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
15.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
16.png,[ 0.19255112 -0.39181999  0.2751873  -0.03651523]
17.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
18.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
19.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
20.png,[ 0.19442679 -0.35576921  0.22867249 -0.0260013 ]
21.png,[ 0.19442679 -0.35576921  0.22867249 -0.0260013 ]
22.png,[ 0.18291865 -0.33162082  0.21256942 -0.02263542]
23.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
24.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
25.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
26.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
27.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
28.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
29.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
30.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
31.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
32.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
33.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
34.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
35.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
36.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
37.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
38.png,[ 0.18291865 -0.33162082  0.21256942 -0.02263542]
39.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
40.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
41.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
42.png,[ 0.19510027 -0.35709746  0.22947544 -0.02614231]
43.png,[ 0.18644264 -0.34226837  0.22163416 -0.02482996]
44.png,[ 0.13777746 -0.29095848  0.21056721 -0.02573652]
45.png,[ 0.13694093 -0.28763762  0.20616018 -0.02405338]
46.png,[ 0.13063697 -0.30928069  0.23351479 -0.03104558]
47.png,[ 0.26295762 -0.52695349  0.32978583 -0.04133793]
48.png,[ 0.22429743 -0.49441812  0.32843944 -0.04348977]
49.png,[ 0.17309543 -0.43449433  0.30778587 -0.04111346]
50.png,[ 0.3093911  -0.62145713  0.36399841 -0.04357259]
51.png,[ 0.12307662 -0.29778523  0.19702962 -0.02350184]
52.png,[ 0.11099561 -0.27059052  0.1752099  -0.01776247]
53.png,[ 0.24090115 -0.49420089  0.28432271 -0.03282706]
54.png,[ 0.22282951 -0.49162722  0.29394117 -0.03544905]
55.png,[ 0.2993291  -0.60274438  0.32685864 -0.03865576]
56.png,[ 0.03656165 -0.12447069  0.06592168 -0.00156583]
57.png,[ 0.00887508 -0.03116406 -0.0273038   0.00758561]
58.png,[-0.07196278  0.13953765 -0.14612842  0.01937642]
59.png,[ 0.19172037 -0.36189139  0.14563784 -0.03732897]
60.png,[ 0.13408418 -0.28725246  0.11471365 -0.03383589]
61.png,[ 0.10776478 -0.26239866  0.11223985 -0.03565617]
62.png,[-0.06370456  0.07218995 -0.0796936  -0.0159096 ]
63.png,[ 0.02595301 -0.09819269  0.00615552 -0.02764075]
64.png,[ 0.04247114 -0.14169071  0.03270785 -0.03196854]
65.png,[ 0.12042565 -0.26158084  0.07615956 -0.03667827]
66.png,[ 0.18351398 -0.4062376   0.17652176 -0.06296481]
67.png,[ 0.07659533 -0.22181605  0.09684069 -0.06585159]
68.png,[ 0.04417317 -0.18191544  0.08165313 -0.06412558]
69.png,[ 0.28611441 -0.63431766  0.33524307 -0.10951863]
70.png,[ 0.15628491 -0.38110524  0.18278934 -0.08719871]
71.png,[ 0.20319093 -0.47629808  0.22993466 -0.09334513]
72.png,[ 0.24282639 -0.55881682  0.27449405 -0.09983649]
73.png,[ 0.26181988 -0.57564953  0.26623601 -0.09612265]
74.png,[ 0.14334655 -0.34396793  0.12754036 -0.07584106]
75.png,[ 0.13296408 -0.33180152  0.11990554 -0.07421856]
76.png,[ 0.09230978 -0.27167999  0.09788713 -0.073872  ]
77.png,[ 0.03589932 -0.20159815  0.08724629 -0.08256417]
78.png,[ 0.01679899 -0.17574474  0.07402401 -0.08053282]
79.png,[ 0.03840079 -0.22097913  0.09528738 -0.083019  ]
80.png,[ 0.01463497 -0.18395756  0.07825146 -0.0806587 ]
81.png,[ 0.00304631 -0.17469333  0.07529263 -0.08044054]
82.png,[-0.02446157 -0.13442557  0.05632816 -0.07789456]
83.png,[-0.01863961 -0.14792009  0.06558796 -0.0794125 ]
84.png,[-0.07507483 -0.04473413  0.0061557  -0.06983682]
85.png,[-0.06534721 -0.07153649  0.02259483 -0.07250807]
86.png,[-0.01791413 -0.16370098  0.07140612 -0.07938705]
87.png,[-0.0338854  -0.15059308  0.06768525 -0.07913415]
88.png,[-0.05375258 -0.10415696  0.03685558 -0.07377682]
89.png,[-0.0372112  -0.14084891  0.05568728 -0.0764028 ]
90.png,[-0.06468797 -0.09563712  0.03496022 -0.07360883]
91.png,[-0.0664712  -0.10323446  0.04257867 -0.07509736]
92.png,[-0.03124628 -0.17386472  0.07841871 -0.08005552]
93.png,[-0.03772871 -0.1732291   0.08205479 -0.08100812]
94.png,[-0.04760133 -0.15220164  0.07380057 -0.08007505]
95.png,[ 0.06456522 -0.35390206  0.16310887 -0.08377486]
96.png,[ 0.0464564  -0.32972816  0.15312187 -0.08255518]
97.png,[-0.05568801 -0.16076309  0.08322745 -0.08184167]
98.png,[ 0.05021775 -0.33816472  0.15845928 -0.08325963]
99.png,[ 0.0453992  -0.34058784  0.16147814 -0.08390295]
100.png,[ 0.0453992  -0.34058784  0.16147814 -0.08390295]
101.png,[ 0.025424   -0.30498783  0.14541744 -0.08183778]
102.png,[ 0.02969015 -0.31861954  0.15206616 -0.08272197]
103.png,[ 0.05834542 -0.37493571  0.1826245  -0.08724468]
104.png,[ 0.08709834 -0.42850958  0.21127366 -0.0907594 ]
105.png,[ 0.07456312 -0.41194005  0.20458385 -0.08996668]
106.png,[ 0.03650131 -0.34424587  0.17173127 -0.08616385]
107.png,[ 0.04596286 -0.36423021  0.18326345 -0.08796687]
108.png,[ 0.06197429 -0.39227236  0.18730749 -0.08692107]
109.png,[-0.06411798 -0.13912737  0.04025614 -0.06539563]
110.png,[-0.07656468 -0.12325519  0.0329431  -0.06437931]
111.png,[-0.05039676 -0.16931103  0.05403112 -0.06692796]
112.png,[-0.02137747 -0.23386215  0.0914106  -0.0726926 ]
113.png,[-0.02116026 -0.23631536  0.09070854 -0.07218823]
114.png,[-0.02300825 -0.23743681  0.09056887 -0.07191941]
115.png,[-0.13379682 -0.05274225  0.00982861 -0.06923968]
116.png,[ 0.03817852 -0.33916929  0.13223572 -0.07609321]
117.png,[-0.04936189 -0.20015947  0.07473223 -0.07678583]
118.png,[ 0.02042884 -0.31664043  0.11839209 -0.07339386]
