Image Filename,Joint Angles
1_1723092858-546323486.png,"[0.00580777 0.01235011 0.02129154 0.03597715 0.05282206 0.06826116
 0.07877642 0.08088831]"
2_1723092858-579644531.png,"[0.00667688 0.01448708 0.02122294 0.03267601 0.04811904 0.06681101
 0.08799744 0.11091576]"
3_1723092858-612964355.png,"[0.0075522  0.01517979 0.02114538 0.03269963 0.04828956 0.06635441
 0.08533699 0.10370178]"
4_1723092858-646284912.png,"[0.00638164 0.01341976 0.0221801  0.03660748 0.05306541 0.06793851
 0.07765776 0.07868832]"
5_1723092858-679604248.png,"[0.00637396 0.01397684 0.02130261 0.03337389 0.04896442 0.06684038
 0.08576906 0.10453256]"
6_1723092858-712924316.png,"[0.00353104 0.01154075 0.02351362 0.03784441 0.05313101 0.06797892
 0.08101136 0.09087426]"
7_1723092858-746243408.png,"[0.00778573 0.01408328 0.02092747 0.03536865 0.05274648 0.06842508
 0.0778292  0.07642293]"
8_1723092858-779563232.png,"[0.00063884 0.00940295 0.02430454 0.03836774 0.05245814 0.06743405
 0.08413947 0.10339357]"
9_1723092858-812881836.png,"[0.00878755 0.01600174 0.0201341  0.0312331  0.04732165 0.06641193
 0.08652052 0.10569392]"
10_1723092858-846201172.png,"[0.00369126 0.0128052  0.02381257 0.03574232 0.04939739 0.06556823
 0.08502156 0.10848184]"
11_1723092858-879519287.png,"[0.00672153 0.01411681 0.02078038 0.03259576 0.04819015 0.06618289
 0.08519526 0.10386611]"
12_1723092858-912838379.png,"[0.00649678 0.01447879 0.02166309 0.03319227 0.04826721 0.06607846
 0.08580888 0.10664125]"
13_1723092858-946156494.png,"[0.00353926 0.01112473 0.02301869 0.03774071 0.0533637  0.06797291
 0.07967904 0.08661951]"
14_1723092858-979481689.png,"[0.00808148 0.01559564 0.02098002 0.03247289 0.04815948 0.06611903
 0.08444028 0.10124293]"
15_1723092859-12805420.png,"[0.00645295 0.01298449 0.02155272 0.03646015 0.05353135 0.0686164
 0.07761998 0.07647972]"
16_1723092859-46130127.png,"[0.00694657 0.01408149 0.02089122 0.03348142 0.04968857 0.06734803
 0.08431375 0.09847866]"
17_1723092859-79453369.png,"[0.00724711 0.0138518  0.02090093 0.034611   0.05126419 0.06715827
 0.07863709 0.08208974]"
18_1723092859-112777832.png,"[0.00812895 0.01588324 0.02101342 0.03195485 0.04731499 0.06569044
 0.08567502 0.10587611]"
19_1723092859-146100830.png,"[0.0039801  0.01245814 0.02293912 0.03533431 0.04978441 0.06642042
 0.08535897 0.10669656]"
20_1723092859-179424561.png,"[0.00750472 0.01489215 0.02111194 0.03321754 0.04913386 0.06678298
 0.08410246 0.09906607]"
21_1723092859-212747314.png,"[0.00879564 0.01549876 0.01989282 0.03191765 0.04860059 0.0669674
 0.08407099 0.09701917]"
22_1723092859-246070557.png,"[0.00626654 0.01403589 0.02157104 0.03355661 0.04889024 0.06646221
 0.08516276 0.10389407]"
23_1723092859-279392822.png,"[0.00438931 0.01345023 0.02325484 0.03462682 0.04868409 0.06652504
 0.08920743 0.1177097 ]"
24_1723092859-312715820.png,"[0.00842953 0.0144234  0.02046806 0.03495992 0.05272062 0.0685988
 0.0775108  0.07441129]"
25_1723092859-346037842.png,"[0.00686324 0.01515176 0.02185363 0.03277446 0.04745832 0.06543586
 0.08622144 0.1093132 ]"
26_1723092859-379360352.png,"[0.00735551 0.0155974  0.02186029 0.03278196 0.04754343 0.0653145
 0.08525564 0.10652509]"
27_1723092859-412681885.png,"[0.00801076 0.01519633 0.02084291 0.03297717 0.04906871 0.06658692
 0.08302401 0.09591688]"
28_1723092859-446004150.png,"[0.00589793 0.01295576 0.02214455 0.03660004 0.05301211 0.06808948
 0.0785834  0.0812812 ]"
29_1723092859-479325195.png,"[0.00490852 0.01275599 0.02309188 0.03693826 0.05224966 0.06699079
 0.07915131 0.08674984]"
30_1723092859-512646973.png,"[0.00717751 0.01396374 0.0201436  0.03259507 0.04899349 0.06701205
 0.08434338 0.09872249]"
31_1723092859-545967529.png,"[0.00725582 0.01425509 0.02013967 0.03205545 0.04816329 0.06661695
 0.08557808 0.10323834]"
32_1723092859-579289063.png,"[0.01157345 0.01645139 0.01744174 0.03035409 0.04923468 0.06814163
 0.08120941 0.08265391]"
33_1723092859-612609375.png,"[0.00388783 0.01238742 0.02309817 0.03566084 0.05014444 0.06660941
 0.0851041  0.10566101]"
34_1723092859-645930420.png,"[0.00588184 0.01384062 0.02199585 0.0341114  0.0492453  0.06644895
 0.08477307 0.10327741]"
35_1723092859-679250244.png,"[0.00761908 0.01511506 0.02088588 0.03242025 0.04808969 0.06625783
 0.08529255 0.1035852 ]"
36_1723092859-712570801.png,"[0.00673    0.01458464 0.02134691 0.03270961 0.04775847 0.06556914
 0.08521085 0.10575548]"
37_1723092859-745890137.png,"[0.00363263 0.01229139 0.02280885 0.03468438 0.04879941 0.06601958
 0.08717969 0.11305804]"
