Image Filename,Joint Angles
1_1723093146-528716797.png,"[-0.0123664  -0.0400438  -0.04644824 -0.03444732 -0.01579175 -0.00230026
 -0.00582022 -0.03815741]"
2_1723093146-562126709.png,"[-0.01262395 -0.03995648 -0.04594382 -0.03412251 -0.01586308 -0.00260054
 -0.00579733 -0.03687773]"
3_1723093146-595535889.png,"[-0.01195301 -0.04010998 -0.04727793 -0.03518522 -0.01598376 -0.00189744
 -0.00518172 -0.03804965]"
4_1723093146-628946289.png,"[-0.01195301 -0.04010998 -0.04727793 -0.03518522 -0.01598376 -0.00189744
 -0.00518172 -0.03804965]"
5_1723093146-662355957.png,"[-0.01197881 -0.04067619 -0.04787545 -0.03517271 -0.01533176 -0.00119584
 -0.00563943 -0.04148496]"
6_1723093146-695766846.png,"[-0.01240635 -0.04013162 -0.04662484 -0.03464396 -0.01576459 -0.00163032
 -0.00391417 -0.03425548]"
7_1723093146-729177246.png,"[-1.25411621e-02 -4.14510620e-02 -4.80321761e-02 -3.48077168e-02
 -1.45438168e-02 -8.97338625e-05 -4.32417498e-03 -4.00770403e-02]"
8_1723093146-762588867.png,"[-0.01195301 -0.04010998 -0.04727793 -0.03518522 -0.01598376 -0.00189744
 -0.00518172 -0.03804965]"
9_1723093146-795999023.png,"[-0.0123664  -0.0400438  -0.04644824 -0.03444732 -0.01579175 -0.00230026
 -0.00582022 -0.03815741]"
10_1723093146-829324463.png,"[-0.01201776 -0.04125469 -0.04846413 -0.03514043 -0.01466155 -0.00049261
 -0.0061294  -0.04500413]"
11_1723093146-862648682.png,"[-0.01300739 -0.04144084 -0.04735213 -0.03442871 -0.0149068  -0.00109959
 -0.00534808 -0.03994586]"
12_1723093146-895973877.png,"[-0.01246889 -0.04069325 -0.04718303 -0.03463228 -0.01515129 -0.00092472
 -0.00416651 -0.03705033]"
13_1723093146-929297852.png,"[-0.0123664  -0.0400438  -0.04644824 -0.03444732 -0.01579175 -0.00230026
 -0.00582022 -0.03815741]"
14_1723093146-962622559.png,"[-0.01191829 -0.0398216  -0.04695263 -0.03509595 -0.01617492 -0.00218193
 -0.00514068 -0.03703543]"
15_1723093146-995946045.png,"[-0.0123664  -0.0400438  -0.04644824 -0.03444732 -0.01579175 -0.00230026
 -0.00582022 -0.03815741]"
16_1723093147-29270264.png,"[-0.01246889 -0.04069325 -0.04718303 -0.03463228 -0.01515129 -0.00092472
 -0.00416651 -0.03705033]"
17_1723093147-62593262.png,"[-0.01191829 -0.0398216  -0.04695263 -0.03509595 -0.01617492 -0.00218193
 -0.00514068 -0.03703543]"
18_1723093147-95917236.png,"[-0.01232678 -0.04085647 -0.04789591 -0.03549446 -0.01576989 -0.00091531
 -0.00315623 -0.03468214]"
19_1723093147-129239746.png,"[-0.01191829 -0.0398216  -0.04695263 -0.03509595 -0.01617492 -0.00218193
 -0.00514068 -0.03703543]"
20_1723093147-162563232.png,"[-0.01195301 -0.04010998 -0.04727793 -0.03518522 -0.01598376 -0.00189744
 -0.00518172 -0.03804965]"
21_1723093147-195885498.png,"[-0.01202083 -0.04097817 -0.04810844 -0.03503979 -0.01487717 -0.00080918
 -0.0060548  -0.04377387]"
22_1723093147-229208496.png,"[-0.01195301 -0.04010998 -0.04727793 -0.03518522 -0.01598376 -0.00189744
 -0.00518172 -0.03804965]"
23_1723093147-262530273.png,"[-0.01258313 -0.04088939 -0.04733773 -0.03480187 -0.01542373 -0.00141979
 -0.00503617 -0.03847539]"
24_1723093147-295852783.png,"[-0.01246889 -0.04069325 -0.04718303 -0.03463228 -0.01515129 -0.00092472
 -0.00416651 -0.03705033]"
25_1723093147-329174316.png,"[-0.01195301 -0.04010998 -0.04727793 -0.03518522 -0.01598376 -0.00189744
 -0.00518172 -0.03804965]"
26_1723093147-362496338.png,"[-0.01255726 -0.04032308 -0.04674019 -0.03481454 -0.01607585 -0.00212132
 -0.004578   -0.03503776]"
27_1723093147-395817383.png,"[-0.01188479 -0.03926211 -0.04636347 -0.0350936  -0.01679264 -0.00286308
 -0.00473877 -0.03382146]"
28_1723093147-429139160.png,"[-0.01201776 -0.04125469 -0.04846413 -0.03514043 -0.01466155 -0.00049261
 -0.0061294  -0.04500413]"
29_1723093147-462459473.png,"[-0.01196351 -0.04039404 -0.04753479 -0.03507791 -0.01553571 -0.00149674
 -0.00558051 -0.04035806]"
30_1723093147-495780762.png,"[-0.01191829 -0.0398216  -0.04695263 -0.03509595 -0.01617492 -0.00218193
 -0.00514068 -0.03703543]"
31_1723093147-529101074.png,"[-0.0123589  -0.04092436 -0.04755588 -0.03470661 -0.01500695 -0.0011662
 -0.0059228  -0.04196209]"
32_1723093147-562421875.png,"[-0.01295442 -0.04100602 -0.05152051 -0.04563599 -0.03126792 -0.01635097
 -0.00886849 -0.01680699]"
33_1723093147-595741455.png,"[-0.01374031 -0.04414989 -0.05416348 -0.04563435 -0.02892893 -0.01446271
 -0.01270757 -0.03411273]"
34_1723093147-629062012.png,"[-0.01283002 -0.04154053 -0.05195852 -0.04516449 -0.03037886 -0.01685279
 -0.01388696 -0.03077049]"
35_1723093147-662381348.png,"[-0.01268382 -0.04489436 -0.05499576 -0.04378979 -0.02604349 -0.01661423
 -0.03040035 -0.08203597]"
36_1723093147-695701172.png,"[-0.01273164 -0.04481592 -0.05488302 -0.04385617 -0.02632365 -0.01696162
 -0.030487   -0.08136068]"
37_1723093147-729020020.png,"[-0.01354429 -0.04256478 -0.05179613 -0.04497182 -0.03311299 -0.02728019
 -0.03855736 -0.07785587]"
38_1723093147-762339844.png,"[-0.01314556 -0.0387886  -0.04922529 -0.04758293 -0.03978908 -0.03176897
 -0.0294712  -0.03884385]"
39_1723093147-795658691.png,"[-0.01374809 -0.04116911 -0.05099612 -0.04706197 -0.0373549  -0.02987652
 -0.03265719 -0.05368911]"
40_1723093147-828988037.png,"[-0.01218468 -0.03815643 -0.04946303 -0.04760156 -0.03955747 -0.03231605
 -0.03288758 -0.04826559]"
41_1723093147-862316406.png,"[-0.01205426 -0.03728836 -0.0473323  -0.04475082 -0.03720456 -0.03236062
 -0.03790288 -0.06145901]"
42_1723093147-895645508.png,"[-0.01211663 -0.03609093 -0.04473641 -0.04227553 -0.03641079 -0.03485164
 -0.04530906 -0.07538512]"
43_1723093147-928973389.png,"[-0.01032766 -0.0315361  -0.03805876 -0.03441941 -0.0296112  -0.03263699
 -0.0524707  -0.09780217]"
44_1723093147-962302002.png,"[-0.0072591  -0.01644629 -0.02263447 -0.0300236  -0.03684142 -0.04132134
 -0.04170081 -0.03621317]"
45_1723093147-995629639.png,"[-0.00581216 -0.01751784 -0.02467005 -0.02887838 -0.03304644 -0.04007178
 -0.05283705 -0.07417657]"
46_1723093148-28958008.png,"[-0.00527295 -0.0127428  -0.01967286 -0.02823664 -0.03686929 -0.04401131
 -0.0481102  -0.04761621]"
47_1723093148-62285156.png,"[-0.00522842 -0.01489461 -0.02193835 -0.02805617 -0.03465936 -0.04315469
 -0.05493926 -0.07138806]"
48_1723093148-95613037.png,"[-0.00501668 -0.01402162 -0.02072276 -0.02707868 -0.03440392 -0.04400787
 -0.05718827 -0.07521659]"
49_1723093148-128939697.png,"[-0.00502712 -0.01416798 -0.02075323 -0.0268622  -0.03415243 -0.04427496
 -0.05886503 -0.07951905]"
50_1723093148-162267334.png,"[-0.00448789 -0.01173568 -0.01780992 -0.02519837 -0.03461918 -0.04678395
 -0.06239084 -0.08211163]"
51_1723093148-195593750.png,"[-0.00181445 -0.00917861 -0.0179146  -0.02576889 -0.03490934 -0.04749345
 -0.06565141 -0.09144316]"
52_1723093148-228920898.png,"[-0.00171293 -0.00984573 -0.01857089 -0.02554364 -0.03429736 -0.04834935
 -0.07116488 -0.10604652]"
53_1723093148-262246826.png,"[-0.00116688 -0.00860075 -0.01753864 -0.02509202 -0.0345121  -0.04903388
 -0.07184158 -0.10596754]"
54_1723093148-295573730.png,"[ 0.0007472  -0.00738006 -0.01773152 -0.02468243 -0.03430931 -0.05265737
 -0.0856389  -0.13866031]"
55_1723093148-328899414.png,"[-0.00046087 -0.00814756 -0.0167787  -0.02349048 -0.03390221 -0.05359959
 -0.08802414 -0.14208965]"
