fx,fy,pred_fx,pred_fy
-22.42880913935737,-88.18583269175743,-38.67111,5.557482
-21.12110331253069,-87.52540606697603,-39.693275,6.3363867
-19.84487797293072,-86.94839151323433,-40.298466,6.9534535
-18.60153813029861,-86.45826078636664,-40.843964,5.898703
-17.392439750839312,-86.05844837282507,-41.38653,7.773273
-16.21888657510898,-85.75234528117109,-41.296345,10.806408
-15.082127072030309,-85.54329281364011,-41.925907,7.2004695
-13.983351543542042,-85.434576332864,-42.218525,8.946908
-12.92368939246326,-85.4294190394163,-41.55925,10.468025
-11.90420656434296,-85.53097577622063,-41.667423,14.715055
-10.925903172786906,-85.74232687587059,-42.619312,12.159208
-9.989711317019657,-86.06647206647092,-41.759842,16.31822
-9.096493100010123,-86.5063244507232,-41.626377,17.77804
-8.247038855062309,-87.06470457177053,-41.47322,19.885065
-7.442065588023116,-87.74433457809513,-40.850967,19.803236
-6.682215640945911,-88.54783249886796,-40.05311,18.98116
-5.968055581234972,-89.47770664068132,-40.00992,15.10287
-5.300075318358795,-90.53635011639427,-39.787186,16.37384
-4.678687448505407,-91.7260355167,-40.18675,15.289169
-4.104226826059104,-93.04890973490988,-39.574997,15.821131
-3.5769503592485155,-94.50698895529396,-39.498985,15.763108
-3.0970370255909083,-96.10215381505064,-39.731567,14.218329
-2.6645881009366983,-97.83614474961708,-39.160862,8.981635
-2.2796275942271564,-99.7105575307003,-39.625668,8.089742
-1.9421028787076384,-101.7268390062052,-39.91251,8.661089
-1.6518855094109663,-103.8862830511262,-39.96213,3.187861
-1.4087722163028862,-106.19002673836157,-39.811207,4.351668
-1.212486062536921,-108.63904673825618,-39.774536,1.9023292
-1.0626777576594737,-111.2341559554848,-39.667282,0.0710037
-0.9589271161181256,-113.97600041166775,-39.366264,-1.5851611
-0.9007446518473754,-116.86505638186034,-39.378605,-6.282178
-0.8875732999093567,-119.90162779267628,-39.333313,-10.268142
-0.9187902561068912,-123.08584388913596,-39.147602,-6.345588
-0.9937089251864696,-126.41765717627356,-38.595142,-15.196086
-1.1115809678102977,-129.89684164016995,-38.924473,-16.105087
-1.2715984360367685,-133.52299125159126,-39.207245,-17.888363
-1.4728959867092537,-137.29551875403746,-38.294956,-21.27495
-1.7145531619593188,-141.2136547369171,-38.46181,-21.493063
-1.9955967259656928,-145.27644699379863,-38.8938,-22.1177
-2.3150030470858534,-149.48276016519344,-38.989895,-22.61188
-2.6717005144226733,-153.83127566515202,-38.538124,-25.417946
-3.06457197789442,-158.32049189121275,-38.120007,-29.848946
-3.492457201183316,-162.9487247177517,-38.216366,-32.051487
-3.9541553177654927,-167.71410827296216,-39.068573,-30.984652
-4.4484272816013934,-172.61459599907147,-38.947098,-34.348377
-4.973998305767032,-177.6479619940588,-39.340492,-36.42541
-5.529560283965437,-182.8118026315204,-39.349987,-39.475727
-6.11377419120279,-188.1035384537778,-39.295944,-41.98185
-6.725272460929252,-193.5204163320006,-39.339092,-44.9127
-7.362661336776021,-199.05951188615683,-39.17565,-47.320904
-8.024523197762493,-204.7177321570244,-38.955936,-57.421772
-8.70941885647709,-210.49181852203853,-39.15631,-66.24482
-9.415889830200245,-216.3783498461113,-38.981537,-68.96687
-10.14246058520369,-222.3737458577249,-39.200943,-75.64672
-10.88764075450218,-228.4742707397199,-55.141838,-118.35996
-11.649927329191646,-234.67603692335183,-59.850838,-144.24794
-12.42780682332315,-240.97500907341004,-66.75247,-184.48694
-13.219757412170654,-247.3670082516554,-75.056145,-237.68434
-14.0242510437492,-253.8477162458328,-79.70554,-266.12088
-14.839755523395752,-260.4126800522425,-82.62882,-306.97235
-15.664736571013508,-267.05731650115695,-82.630974,-344.36722
-16.49765985021804,-273.77691701579687,-82.70326,-345.39355
-17.336992968260937,-280.5666524967715,-81.49573,-354.13602
-18.181207445411204,-287.4215783249061,-80.12191,-374.67725
-19.028780652508797,-294.3366394764452,-80.06459,-378.99673
-19.878197715587653,-301.3066757457625,-79.748604,-382.35483
-20.72795338664223,-308.3264270717096,-80.55942,-394.24493
-21.57655387966875,-315.3905389644588,-82.73538,-404.96484
-22.422518671056405,-322.4935680301535,-82.93059,-407.89563
-23.264382263366805,-329.62998759093404,-90.90082,-449.3705
-24.1006959117123,-336.7941933979493,-91.54793,-458.6245
-24.930029312417545,-343.98050943480695,-91.232864,-456.79068
-25.750972254307268,-351.18319380870304,-90.340485,-478.09024
-26.562136233527376,-358.396444726371,-90.12191,-476.5292
-27.362156033008286,-365.6144065520086,-90.50038,-484.28836
-28.14969126743025,-372.83117594426267,-91.214485,-490.88162
-28.923427893965616,-380.0408080688012,-90.46791,-486.1726
-29.68207968835185,-387.2373228817107,-90.484535,-487.32104
-30.42438968513473,-394.4147114771031,-90.67804,-491.94766
-31.14913158027152,-401.56694249051606,-90.93478,-490.65256
-31.85511109372755,-408.6879685484871,-92.06897,-493.00058
-32.54116728928205,-415.7717327541076,-90.89255,-491.4054
-33.20617384854555,-422.8121751981254,-90.4161,-488.46893
-33.84904029625004,-429.80323948501166,-91.08588,-492.0436
-34.46871317419656,-436.7388792634357,-91.35289,-493.43967
-35.06417716167972,-443.6130647509614,-90.95403,-492.5995
-35.63445614057306,-450.4197892434572,-91.708084,-494.36862
-36.178614203552605,-457.1530756004424,-92.31254,-495.3239
-36.69575660428496,-463.8069826982667,-92.260025,-495.96326
-37.18503064880301,-470.37561184385294,-92.902626,-497.29382
-37.6456265275097,-476.8531131429898,-93.30202,-498.01917
-38.07677808706215,-483.23369181873966,-93.80555,-500.09534
-38.47776354076807,-489.5116144769844,-94.141754,-501.40582
-38.84790611525948,-495.6812153170605,-94.56718,-502.16318
-39.186574630401,-501.73690228574407,-93.89031,-504.442
-39.493184008912536,-507.6731631726845,-93.679565,-500.63068
-39.767195712118536,-513.484571644841,-93.11984,-501.67633
-40.00811809847661,-519.1657932165848,-93.616905,-500.32837
-40.21550670195938,-524.7115911510529,-93.22872,-500.61032
-40.38896442786903,-530.1168322873676,-93.43298,-500.12073
-40.528141664190336,-535.3764927876398,-92.89493,-500.48148
-40.63273630710668,-540.4856637972329,-92.9235,-500.9061
-40.70249369978612,-545.4395570115299,-92.638756,-498.092
-40.73720648395952,-550.2335101424407,-92.88175,-500.66077
-40.73671436417413,-554.8629922781292,-93.13017,-499.42236
-40.700903784946405,-559.3236091298106,-93.20833,-500.02252
-40.62970752132661,-563.6111081597495,-92.55514,-497.73477
-40.52310418355167,-567.7213835847143,-94.16831,-502.25583
-40.38111763649003,-571.6504812491631,-93.3729,-498.30493
-40.20381633458112,-575.3946033624655,-92.89952,-498.2062
-39.99131257319577,-578.9501130943901,-93.605225,-497.7267
-39.74376165814351,-582.3135390227027,-93.247444,-498.30087
-39.46136099665304,-585.4815794259474,-93.97993,-500.22015
-39.14434911527153,-588.4511064136606,-93.943695,-499.7643
-38.79300461192644,-591.2191698859409,-94.76899,-501.86627
-38.407645050065376,-593.7830013146555,-94.938644,-502.5936
-37.98862580223515,-596.1400173392693,-95.23472,-503.6708
-37.53633884921825,-598.2878231708675,-95.64737,-502.21
-37.05121153948413,-600.2242157982723,-96.02247,-503.2783
-36.533705312446,-601.9471869905535,-96.40943,-504.93457
-35.984314387858,-603.454926090925,-96.095505,-501.12216
-35.40356442272324,-604.7458225978975,-96.38287,-503.64728
-34.79201113641458,-605.8184685303518,-97.87571,-502.64484
-34.150238904302,-606.6716605739097,-96.69933,-501.79248
-33.47885931994256,-607.3044020067049,-95.0319,-491.60593
-32.778509725848544,-607.715904403351,-93.81982,-480.04932
-32.0498517130693,-607.9055891163439,-94.39446,-484.107
-31.293569590253416,-607.8730885342405,-98.44633,-502.36966
-30.51036882337483,-607.6182471157816,-98.14059,-502.14966
-29.700974447773373,-607.1411221987745,-97.65258,-500.82867
-28.866129454487247,-606.4419845821108,-95.84433,-491.81424
-28.006593153087863,-605.5213188788022,-97.28041,-496.5801
-27.12313951353845,-604.3798236374172,-95.44551,-488.51706
-26.216555490135185,-603.0184112288802,-95.17809,-490.01782
-25.28763933132833,-601.4382074954397,-98.11875,-498.67065
-24.33719887992981,-599.6405511589546,-95.34653,-488.27716
-23.36604986863217,-597.6269929864776,-94.24253,-481.90918
-22.375014215848115,-595.3992947121292,-94.334946,-482.74323
-21.364918326811942,-592.9594277150532,-92.723564,-477.50635
-20.336591404818712,-590.3095714536305,-93.77203,-481.1607
-19.2908637774051,-587.4521116562701,-94.254166,-482.1075
-18.228565242110815,-584.3896382692652,-93.496216,-482.54437
-17.150523436148685,-581.1249431625032,-96.90106,-494.92963
-16.05756223386924,-577.6610175940938,-97.289604,-494.09225
-14.950500175414376,-574.0010494350958,-97.12734,-493.66556
-13.830148929546729,-570.1484201555087,-91.857,-473.39548
-12.69731179343978,-566.106701572783,-91.847855,-478.79727
-11.552782232241391,-561.8796523645404,-91.49909,-474.9383
-10.397342461349918,-557.4712143480205,-91.21751,-472.454
-9.231762074330206,-552.885508529697,-95.5066,-491.188
-8.05679671909316,-548.126830929117,-90.63656,-472.58398
