fx,fy,pred_fx,pred_fy
-22.42880913935737,-88.18583269175743,-55.22676,-69.076584
-21.12110331253069,-87.52540606697603,-48.548122,-60.31702
-19.84487797293072,-86.94839151323433,-44.687843,-55.684795
-18.60153813029861,-86.45826078636664,-42.63342,-53.793262
-17.392439750839312,-86.05844837282507,-42.964302,-52.925613
-16.21888657510898,-85.75234528117109,-41.718884,-50.4979
-15.082127072030309,-85.54329281364011,-40.74772,-50.472343
-13.983351543542042,-85.434576332864,-41.477417,-50.239086
-12.92368939246326,-85.4294190394163,-39.552433,-47.65681
-11.90420656434296,-85.53097577622063,-40.116688,-46.51113
-10.925903172786906,-85.74232687587059,-42.375267,-49.795723
-9.989711317019657,-86.06647206647092,-39.44596,-44.446186
-9.096493100010123,-86.5063244507232,-38.64217,-42.924633
-8.247038855062309,-87.06470457177053,-38.29156,-40.990437
-7.442065588023116,-87.74433457809513,-36.022587,-38.723175
-6.682215640945911,-88.54783249886796,-34.137505,-37.706573
-5.968055581234972,-89.47770664068132,-33.377686,-38.537388
-5.300075318358795,-90.53635011639427,-32.520477,-36.684074
-4.678687448505407,-91.7260355167,-32.873592,-36.847294
-4.104226826059104,-93.04890973490988,-30.966238,-34.420452
-3.5769503592485155,-94.50698895529396,-30.311207,-33.73619
-3.0970370255909083,-96.10215381505064,-30.702705,-34.36869
-2.6645881009366983,-97.83614474961708,-29.286953,-35.672497
-2.2796275942271564,-99.7105575307003,-29.58262,-35.89425
-1.9421028787076384,-101.7268390062052,-29.786568,-36.031116
-1.6518855094109663,-103.8862830511262,-30.173586,-39.29132
-1.4087722163028862,-106.19002673836157,-27.168049,-34.295597
-1.212486062536921,-108.63904673825618,-27.709455,-36.022236
-1.0626777576594737,-111.2341559554848,-28.48567,-37.824657
-0.9589271161181256,-113.97600041166775,-28.662455,-40.045544
-0.9007446518473754,-116.86505638186034,-29.935572,-44.169685
-0.8875732999093567,-119.90162779267628,-31.059807,-48.79288
-0.9187902561068912,-123.08584388913596,-30.08355,-44.76513
-0.9937089251864696,-126.41765717627356,-31.736124,-56.128666
-1.1115809678102977,-129.89684164016995,-32.062366,-57.158157
-1.2715984360367685,-133.52299125159126,-32.493435,-58.767143
-1.4728959867092537,-137.29551875403746,-33.037514,-64.68104
-1.7145531619593188,-141.2136547369171,-33.197205,-65.48448
-1.9955967259656928,-145.27644699379863,-33.17378,-65.677475
-2.3150030470858534,-149.48276016519344,-33.197777,-66.57534
-2.6717005144226733,-153.83127566515202,-33.8427,-71.11707
-3.06457197789442,-158.32049189121275,-35.03996,-76.71501
-3.492457201183316,-162.9487247177517,-35.079407,-79.25674
-3.9541553177654927,-167.71410827296216,-34.550617,-77.41158
-4.4484272816013934,-172.61459599907147,-34.781315,-80.565056
-4.973998305767032,-177.6479619940588,-34.24172,-81.5778
-5.529560283965437,-182.8118026315204,-33.442326,-83.20033
-6.11377419120279,-188.1035384537778,-32.532597,-83.75355
-6.725272460929252,-193.5204163320006,-32.578457,-85.45594
-7.362661336776021,-199.05951188615683,-32.791775,-86.95806
-8.024523197762493,-204.7177321570244,-33.788704,-90.871
-8.70941885647709,-210.49181852203853,-35.702137,-96.179115
-9.415889830200245,-216.3783498461113,-35.281055,-97.62554
-10.14246058520369,-222.3737458577249,-35.309902,-103.488914
-10.88764075450218,-228.4742707397199,-34.97532,-138.66667
-11.649927329191646,-234.67603692335183,-39.690712,-176.14052
-12.42780682332315,-240.97500907341004,-53.90441,-254.5273
-13.219757412170654,-247.3670082516554,-63.875088,-318.15933
-14.0242510437492,-253.8477162458328,-66.45367,-337.88947
-14.839755523395752,-260.4126800522425,-69.53383,-358.4813
-15.664736571013508,-267.05731650115695,-72.48368,-374.02228
-16.49765985021804,-273.77691701579687,-73.14944,-376.4281
-17.336992968260937,-280.5666524967715,-73.36932,-379.74686
-18.181207445411204,-287.4215783249061,-75.22059,-391.0507
-19.028780652508797,-294.3366394764452,-76.04082,-396.21277
-19.878197715587653,-301.3066757457625,-76.391136,-399.42056
-20.72795338664223,-308.3264270717096,-78.3882,-411.2581
-21.57655387966875,-315.3905389644588,-81.631256,-428.3654
-22.422518671056405,-322.4935680301535,-82.62403,-434.36295
-23.264382263366805,-329.62998759093404,-87.418205,-465.6481
-24.1006959117123,-336.7941933979493,-88.108826,-469.9558
-24.930029312417545,-343.98050943480695,-87.725296,-469.23645
-25.750972254307268,-351.18319380870304,-89.298355,-482.75443
-26.562136233527376,-358.396444726371,-88.93008,-480.84708
-27.362156033008286,-365.6144065520086,-89.709496,-485.15002
-28.14969126743025,-372.83117594426267,-90.5047,-489.27124
-28.923427893965616,-380.0408080688012,-89.61638,-484.72888
-29.68207968835185,-387.2373228817107,-90.011826,-487.1611
-30.42438968513473,-394.4147114771031,-89.75186,-485.4465
-31.14913158027152,-401.56694249051606,-90.17751,-487.87915
-31.85511109372755,-408.6879685484871,-90.51037,-489.31546
-32.54116728928205,-415.7717327541076,-89.80442,-485.32706
-33.20617384854555,-422.8121751981254,-89.47272,-483.81207
-33.84904029625004,-429.80323948501166,-89.75766,-484.8632
-34.46871317419656,-436.7388792634357,-89.77233,-485.13565
-35.06417716167972,-443.6130647509614,-89.61527,-484.5738
-35.63445614057306,-450.4197892434572,-90.21088,-487.51123
-36.178614203552605,-457.1530756004424,-90.39617,-489.7055
-36.69575660428496,-463.8069826982667,-90.25649,-489.14014
-37.18503064880301,-470.37561184385294,-90.79137,-492.31625
-37.6456265275097,-476.8531131429898,-92.33221,-492.82346
-38.07677808706215,-483.23369181873966,-94.05485,-495.33926
-38.47776354076807,-489.5116144769844,-94.86751,-496.7222
-38.84790611525948,-495.6812153170605,-95.556076,-498.16864
-39.186574630401,-501.73690228574407,-93.59599,-498.10443
-39.493184008912536,-507.6731631726845,-93.49729,-495.36017
-39.767195712118536,-513.484571644841,-91.89518,-493.7573
-40.00811809847661,-519.1657932165848,-92.73756,-496.3567
-40.21550670195938,-524.7115911510529,-91.40317,-493.4941
-40.38896442786903,-530.1168322873676,-91.65457,-495.3615
-40.528141664190336,-535.3764927876398,-89.96637,-491.6623
-40.63273630710668,-540.4856637972329,-90.00291,-491.87183
-40.70249369978612,-545.4395570115299,-90.47536,-493.02228
-40.73720648395952,-550.2335101424407,-90.20476,-491.68842
-40.73671436417413,-554.8629922781292,-90.521095,-494.10724
-40.700903784946405,-559.3236091298106,-90.548996,-494.08643
-40.62970752132661,-563.6111081597495,-90.56609,-492.7337
-40.52310418355167,-567.7213835847143,-90.753685,-498.10254
-40.38111763649003,-571.6504812491631,-90.82371,-496.98553
-40.20381633458112,-575.3946033624655,-90.6087,-494.79065
-39.99131257319577,-578.9501130943901,-90.93141,-497.8503
-39.74376165814351,-582.3135390227027,-90.83168,-496.49835
-39.46136099665304,-585.4815794259474,-90.79901,-498.2632
-39.14434911527153,-588.4511064136606,-90.8069,-498.71466
-38.79300461192644,-591.2191698859409,-90.96482,-502.59424
-38.407645050065376,-593.7830013146555,-90.95044,-503.2199
-37.98862580223515,-596.1400173392693,-91.98283,-504.94858
-37.53633884921825,-598.2878231708675,-95.6577,-511.30084
-37.05121153948413,-600.2242157982723,-100.57108,-518.0472
-36.533705312446,-601.9471869905535,-102.478355,-519.4494
